Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
39701.00 1276.60 12.677250 30.343828 -151605.462808 3.876197 15.208070 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6014 0.663046 3.90647 0.711819 0 2.78897 0 18.2025 0 17.2941 1.8317
39601.00 1276.41 12.678619 30.347325 -151660.950582 3.876824 15.210477 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.597 0.662602 3.91465 0.71131 0 2.79042 0 18.2 0 17.2924 1.8316
39501.00 1276.22 12.680012 30.350878 -151716.731130 3.877458 15.212912 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5926 0.662156 3.92287 0.710801 0 2.79188 0 18.1976 0 17.2906 1.83149
39401.00 1276.03 12.681428 30.354487 -151772.807864 3.878099 15.215375 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5882 0.661707 3.93114 0.710291 0 2.79334 0 18.1951 0 17.2889 1.83138
39301.00 1275.84 12.682868 30.358152 -151829.184244 3.878747 15.217865 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5837 0.661255 3.93946 0.70978 0 2.79481 0 18.1926 0 17.2872 1.83127
39201.00 1275.65 12.684332 30.361875 -151885.863782 3.879403 15.220384 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5792 0.6608 3.94782 0.709269 0 2.79628 0 18.19 0 17.2855 1.83115
39101.00 1275.47 12.685821 30.365656 -151942.850037 3.880065 15.222931 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5746 0.660343 3.95623 0.708757 0 2.79776 0 18.1875 0 17.2838 1.83103
39001.00 1275.28 12.687335 30.369495 -152000.146620 3.880736 15.225507 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5701 0.659882 3.96469 0.708244 0 2.79925 0 18.1849 0 17.2821 1.8309
38901.00 1275.09 12.688873 30.373393 -152057.757190 3.881414 15.228112 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5655 0.65942 3.97319 0.707731 0 2.80073 0 18.1823 0 17.2804 1.83077
38801.00 1274.90 12.690437 30.377352 -152115.685466 3.882100 15.230747 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5609 0.658954 3.98175 0.707217 0 2.80223 0 18.1797 0 17.2787 1.83064
38701.00 1274.71 12.692027 30.381371 -152173.935215 3.882793 15.233412 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5562 0.658486 3.99035 0.706703 0 2.80373 0 18.1771 0 17.277 1.8305
38601.00 1274.52 12.693643 30.385452 -152232.510261 3.883494 15.236107 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5515 0.658015 3.999 0.706187 0 2.80523 0 18.1744 0 17.2753 1.83036
38501.00 1274.33 12.695285 30.389594 -152291.414484 3.884204 15.238833 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5468 0.657541 4.0077 0.705671 0 2.80674 0 18.1717 0 17.2736 1.83022
38401.00 1274.15 12.696953 30.393799 -152350.651819 3.884921 15.241590 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.542 0.657064 4.01645 0.705154 0 2.80826 0 18.1691 0 17.2719 1.83007
38301.00 1273.96 12.698648 30.398068 -152410.226265 3.885646 15.244378 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.17Si1.95O6 54.5373 0.656584 4.02525 0.704637 0 2.80978 0 18.1664 0 17.2702 1.82992
