Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
33701.00 1501.64 0.000669 0.002018 -6.589913 0.000216 0.001040 -0.242 41.3076 1.57266 5.65845 0.347902 0.823294 13.9694 0.123978 21.4126 0.0792679 4.0213 10.6835
33601.00 1501.37 0.003886 0.011720 -38.299395 0.001257 0.006040 -0.238 41.3145 1.5691 5.71521 0.348252 0.819899 13.9444 0.123166 21.3888 0.07873 4.03631 10.6617
33501.00 1501.10 0.007184 0.021667 -70.872173 0.002324 0.011170 -0.235 41.3214 1.5655 5.77222 0.348608 0.816442 13.9193 0.122353 21.3651 0.078192 4.05148 10.6395
33401.00 1500.83 0.010566 0.031863 -104.320964 0.003420 0.016430 -0.232 41.3284 1.56186 5.82947 0.348969 0.812923 13.8943 0.121539 21.3413 0.0776539 4.0668 10.6168
33301.00 1500.56 0.014033 0.042311 -138.658745 0.004543 0.021823 -0.228 41.3354 1.55817 5.88697 0.349335 0.809344 13.8692 0.120725 21.3175 0.0771158 4.08228 10.5939
33201.00 1500.29 0.017585 0.053013 -173.898758 0.005695 0.027350 -0.225 41.3425 1.55444 5.94471 0.349707 0.805703 13.8443 0.119911 21.2937 0.0765777 4.09792 10.5705
33101.00 1500.02 0.021224 0.063974 -210.054518 0.006877 0.033013 -0.221 41.3497 1.55067 6.00269 0.350083 0.802001 13.8193 0.119097 21.2699 0.0760398 4.11373 10.5467
33001.00 1499.74 0.024950 0.075197 -247.139817 0.008087 0.038815 -0.218 41.357 1.54686 6.0609 0.350464 0.798238 13.7944 0.118282 21.2461 0.075502 4.1297 10.5226
32901.00 1499.47 0.028765 0.086685 -285.168738 0.009327 0.044756 -0.214 41.3643 1.54301 6.11934 0.35085 0.794414 13.7695 0.117467 21.2223 0.0749644 4.14584 10.4981
32801.00 1499.19 0.032671 0.098441 -324.155646 0.010597 0.050839 -0.211 41.3717 1.53911 6.178 0.351241 0.79053 13.7446 0.116653 21.1985 0.0744271 4.16214 10.4732
32701.00 1498.92 0.036668 0.110469 -364.115210 0.011898 0.057066 -0.207 41.3791 1.53517 6.23689 0.351636 0.786584 13.7197 0.115838 21.1746 0.07389 4.17861 10.4479
32601.00 1498.64 0.040757 0.122772 -405.062402 0.013230 0.063439 -0.203 41.3867 1.53119 6.296 0.352035 0.782578 13.6949 0.115024 21.1508 0.0733532 4.19525 10.4222
32501.00 1498.36 0.044941 0.135355 -447.012509 0.014594 0.069959 -0.200 41.3943 1.52716 6.35532 0.352438 0.778512 13.6701 0.11421 21.1269 0.0728169 4.21207 10.3962
32401.00 1498.09 0.049220 0.148221 -489.981135 0.015989 0.076629 -0.196 41.402 1.5231 6.41486 0.352846 0.774385 13.6454 0.113396 21.103 0.072281 4.22906 10.3697
32301.00 1497.81 0.053595 0.161374 -533.984213 0.017417 0.083452 -0.192 41.4097 1.51899 6.47461 0.353257 0.770198 13.6206 0.112582 21.0792 0.0717455 4.24622 10.3429
32201.00 1497.53 0.058068 0.174818 -579.038009 0.018878 0.090428 -0.189 41.4175 1.51484 6.53456 0.353672 0.765952 13.596 0.111769 21.0553 0.0712106 4.26356 10.3157
32101.00 1497.25 0.062641 0.188556 -625.159136 0.020372 0.097561 -0.185 41.4255 1.51064 6.59471 0.35409 0.761646 13.5713 0.110957 21.0314 0.0706762 4.28109 10.2881
