Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
13001.00 1283.45 0.023780 0.067677 -287.164604 0.008818 0.036306 2.104 51.8536 0.665695 18.3108 0.0928555 0.300028 4.66636 0.0170759 8.7185 0.00945601 4.40441 10.9613
12901.00 1283.11 0.061929 0.176162 -748.390779 0.022970 0.094552 2.115 51.9102 0.664696 18.3225 0.094135 0.295476 4.65865 0.016857 8.71763 0.00933125 4.45662 10.8539
12801.00 1282.78 0.100693 0.286295 -1217.740640 0.037357 0.153744 2.125 51.9663 0.663735 18.334 0.0954466 0.290958 4.65114 0.0166395 8.71702 0.0092074 4.50964 10.7459
12701.00 1282.44 0.140096 0.398138 -1695.512461 0.051989 0.213917 2.136 52.0219 0.662814 18.3451 0.0967915 0.286473 4.64383 0.0164236 8.71667 0.00908445 4.56348 10.6375
12601.00 1282.10 0.180163 0.511756 -2182.019117 0.066875 0.275109 2.146 52.0769 0.661932 18.3558 0.0981708 0.282023 4.63672 0.0162092 8.71659 0.00896241 4.61816 10.5285
12501.00 1281.76 0.220920 0.627220 -2677.588905 0.082024 0.337361 2.157 52.1312 0.661091 18.3663 0.0995857 0.277607 4.62981 0.0159963 8.71676 0.00884128 4.6737 10.4191
12401.00 1281.42 0.262393 0.744602 -3182.566464 0.097446 0.400712 2.167 52.185 0.66029 18.3764 0.101038 0.273226 4.62312 0.0157848 8.71721 0.00872104 4.73011 10.3091
12301.00 1281.08 0.304612 0.863979 -3697.313719 0.113153 0.465209 2.177 52.2382 0.659529 18.3862 0.102527 0.268879 4.61664 0.0155749 8.71792 0.00860172 4.7874 10.1986
12201.00 1280.73 0.347607 0.985429 -4222.210908 0.129154 0.530895 2.188 52.2907 0.658811 18.3956 0.104057 0.264568 4.61037 0.0153665 8.71891 0.00848329 4.84559 10.0875
12101.00 1280.38 0.391408 1.109038 -4757.657664 0.145462 0.597820 2.198 52.3425 0.658133 18.4047 0.105627 0.260292 4.60432 0.0151595 8.72016 0.00836577 4.90469 9.97598
12001.00 1280.03 0.436049 1.234893 -5304.074161 0.162089 0.666036 2.208 52.3937 0.657498 18.4135 0.10724 0.256052 4.59848 0.0149541 8.72169 0.00824914 4.96473 9.86391
11901.00 1279.68 0.481565 1.363089 -5861.902350 0.179047 0.735594 2.218 52.4442 0.656905 18.4219 0.108897 0.251847 4.59287 0.0147501 8.7235 0.00813341 5.02571 9.75134
11801.00 1279.33 0.527992 1.493722 -6431.607250 0.196352 0.806551 2.228 52.494 0.656354 18.4299 0.110599 0.247679 4.58748 0.0145477 8.72557 0.00801858 5.08765 9.63825
11701.00 1278.97 0.575369 1.626896 -7013.678342 0.214016 0.878968 2.238 52.543 0.655846 18.4376 0.112348 0.243548 4.58232 0.0143467 8.72792 0.00790465 5.15057 9.52465
11601.00 1278.61 0.623738 1.762719 -7608.631031 0.232054 0.952905 2.248 52.5913 0.655382 18.4449 0.114146 0.239453 4.57738 0.0141473 8.73055 0.00779161 5.21449 9.41055
11501.00 1278.25 0.673139 1.901305 -8217.008218 0.250484 1.028429 2.257 52.6388 0.65496 18.4518 0.115994 0.235396 4.57267 0.0139493 8.73345 0.00767947 5.27941 9.29594
11401.00 1277.89 0.723620 2.042774 -8839.381951 0.269321 1.105610 2.267 52.6855 0.654583 18.4583 0.117895 0.231376 4.56819 0.0137529 8.73662 0.00756821 5.34535 9.18084
11301.00 1277.52 0.775226 2.187254 -9476.355188 0.288583 1.184519 2.277 52.7314 0.654249 18.4645 0.11985 0.227394 4.56395 0.0135579 8.74006 0.00745784 5.41233 9.06525
11201.00 1277.15 0.828009 2.334876 -10128.563661 0.308288 1.265235 2.286 52.7765 0.653959 18.4703 0.121861 0.22345 4.55994 0.0133644 8.74377 0.00734836 5.48037 8.94917
11101.00 1276.77 0.882021 2.485783 -10796.677855 0.328457 1.347838 2.296 52.8207 0.653713 18.4757 0.12393 0.219545 4.55616 0.0131724 8.74775 0.00723977 5.54947 8.83261
11001.00 1276.40 0.937318 2.640122 -11481.405100 0.349109 1.432413 2.305 52.8641 0.653511 18.4806 0.126059 0.215678 4.55261 0.0129819 8.752 0.00713206 5.61965 8.71558
10901.00 1276.01 0.993958 2.798049 -12183.491782 0.370267 1.519052 2.314 52.9067 0.653354 18.4852 0.128251 0.211852 4.5493 0.0127928 8.7565 0.00702523 5.69092 8.59809
10801.00 1275.63 1.052004 2.959730 -12903.725680 0.391954 1.607849 2.324 52.9483 0.65324 18.4894 0.130507 0.208065 4.54623 0.0126053 8.76127 0.00691928 5.7633 8.48014
10701.00 1275.24 1.059680 2.979572 -13006.622812 0.394875 1.619669 2.333 52.9889 0.653179 18.4932 0.132832 0.204305 4.54347 0.0124192 8.76638 0.00681424 5.83693 8.36156
10601.00 1274.86 1.059759 2.978024 -13016.302042 0.394962 1.619880 2.342 53.0285 0.653174 18.4965 0.135227 0.200571 4.54104 0.0122347 8.77187 0.00671011 5.91186 8.24231
10501.00 1274.47 1.059855 2.976503 -13026.139470 0.395053 1.620120 2.351 53.0669 0.653224 18.4995 0.137696 0.196863 4.53894 0.0120517 8.77773 0.00660688 5.9881 8.1224
10401.00 1274.07 1.059969 2.975012 -13036.145324 0.395148 1.620388 2.359 53.1042 0.653331 18.502 0.140241 0.193182 4.5372 0.0118702 8.78397 0.00650456 6.06569 8.00182
10301.00 1273.68 1.060102 2.973552 -13046.330597 0.395246 1.620686 2.368 53.1404 0.653496 18.504 0.142865 0.189526 4.5358 0.0116902 8.79058 0.00640314 6.14466 7.88058
10201.00 1273.28 1.060254 2.972127 -13056.707015 0.395349 1.621017 2.377 53.1753 0.65372 18.5057 0.145572 0.185898 4.53475 0.0115117 8.79757 0.00630261 6.22502 7.75866
10101.00 1272.89 1.060428 2.970739 -13067.287131 0.395456 1.621381 2.385 53.209 0.654005 18.5069 0.148365 0.182298 4.53407 0.0113346 8.80494 0.00620297 6.30681 7.63608
10001.00 1272.49 1.060623 2.969391 -13078.084381 0.395568 1.621782 2.393 53.2415 0.654351 18.5076 0.151247 0.178725 4.53376 0.0111591 8.81269 0.00610423 6.39005 7.51283
9901.00 1272.08 1.060842 2.968085 -13089.113150 0.395686 1.622219 2.401 53.2727 0.65476 18.5079 0.154222 0.17518 4.53381 0.0109851 8.82082 0.00600637 6.47477 7.38891
9801.00 1271.68 1.061085 2.966826 -13100.388852 0.395809 1.622697 2.409 53.3025 0.655232 18.5077 0.157294 0.171663 4.53425 0.0108125 8.82932 0.00590939 6.561 7.26433
9701.00 1271.27 1.061354 2.965615 -13111.928006 0.395938 1.623217 2.417 53.331 0.655769 18.507 0.160465 0.168176 4.53507 0.0106415 8.8382 0.00581329 6.64877 7.13909
9601.00 1270.86 1.061651 2.964458 -13123.748325 0.396074 1.623781 2.425 53.3581 0.656372 18.5058 0.163741 0.164718 4.53628 0.0104719 8.84745 0.00571807 6.73809 7.0132
9501.00 1270.45 1.061977 2.963358 -13135.868811 0.396218 1.624392 2.432 53.3838 0.657041 18.5042 0.167126 0.16129 4.53788 0.0103037 8.85706 0.00562373 6.82899 6.88665
9401.00 1270.03 1.062333 2.962319 -13148.309859 0.396369 1.625052 2.440 53.4081 0.657777 18.502 0.170623 0.157892 4.53988 0.0101371 8.86704 0.00553025 6.92151 6.75946
