Title: Depleted MORB Mantle of Workmann & Hart 2005

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O 
39601.00 1539.64 0.617672 40.5046 1.63603 2.64411 0.516486 0.663417 16.4485 0.158189 24.5992 0.1039 4.10124 8.6243
39501.00 1539.40 0.617251 40.5097 1.63498 2.67999 0.516217 0.663462 16.4235 0.157601 24.5761 0.103488 4.11072 8.62437
39401.00 1539.16 0.616906 40.5146 1.63389 2.71621 0.515956 0.663472 16.3984 0.157008 24.5529 0.103074 4.1203 8.62418
39301.00 1538.91 0.616638 40.5196 1.63276 2.75278 0.515702 0.663448 16.3733 0.156411 24.5296 0.102657 4.12998 8.62372
39201.00 1538.66 0.616448 40.5246 1.63159 2.78969 0.515457 0.663389 16.3482 0.155809 24.5063 0.102237 4.13976 8.62299
39101.00 1538.42 0.616336 40.5295 1.63038 2.82694 0.515219 0.663296 16.3231 0.155203 24.483 0.101814 4.14963 8.62198
39001.00 1538.17 0.616302 40.5344 1.62913 2.86453 0.514988 0.663166 16.2979 0.154592 24.4595 0.101389 4.15961 8.6207
38901.00 1537.92 0.616348 40.5393 1.62784 2.90246 0.514766 0.663001 16.2727 0.153978 24.4361 0.100961 4.16968 8.61915
38801.00 1537.68 0.616473 40.5442 1.62652 2.94074 0.514551 0.6628 16.2475 0.153358 24.4126 0.100531 4.17985 8.61732
38701.00 1537.43 0.616678 40.5491 1.62515 2.97935 0.514344 0.662563 16.2223 0.152735 24.389 0.100097 4.19013 8.61521
38601.00 1537.18 0.616964 40.5539 1.62375 3.01831 0.514144 0.662288 16.1971 0.152107 24.3654 0.0996618 4.20051 8.61282
38501.00 1536.93 0.617331 40.5588 1.62231 3.05761 0.513952 0.661977 16.1718 0.151475 24.3417 0.0992236 4.21099 8.61014
38401.00 1536.68 0.617780 40.5636 1.62082 3.09724 0.513768 0.661629 16.1465 0.150839 24.318 0.0987829 4.22158 8.60719
38301.00 1536.43 0.618312 40.5684 1.6193 3.13722 0.513591 0.661243 16.1212 0.150199 24.2943 0.0983398 4.23227 8.60395
38201.00 1536.18 0.618927 40.5732 1.61773 3.17753 0.513421 0.660819 16.0959 0.149554 24.2704 0.0978942 4.24308 8.60042
38101.00 1535.93 0.619626 40.578 1.61613 3.21819 0.513259 0.660356 16.0705 0.148906 24.2466 0.0974463 4.25399 8.59661
38001.00 1535.67 0.620409 40.5828 1.61449 3.25918 0.513105 0.659856 16.0451 0.148254 24.2226 0.096996 4.26501 8.59251
37901.00 1535.42 0.621278 40.5876 1.6128 3.30051 0.512958 0.659316 16.0197 0.147598 24.1987 0.0965435 4.27613 8.58811
37801.00 1535.17 0.622233 40.5924 1.61107 3.34217 0.512818 0.658737 15.9943 0.146939 24.1746 0.0960887 4.28737 8.58343
37701.00 1534.91 0.623274 40.5972 1.60931 3.38417 0.512686 0.658119 15.9689 0.146275 24.1506 0.0956316 4.29873 8.57845
37601.00 1534.66 0.624403 40.6019 1.6075 3.42651 0.512561 0.657461 15.9434 0.145608 24.1264 0.0951724 4.31019 8.57318
37501.00 1534.40 0.625620 40.6067 1.60565 3.46918 0.512443 0.656763 15.918 0.144937 24.1023 0.094711 4.32177 8.56761
37401.00 1534.15 0.626926 40.6115 1.60376 3.51218 0.512333 0.656025 15.8925 0.144263 24.078 0.0942475 4.33347 8.56175
37301.00 1533.89 0.628322 40.6162 1.60183 3.55551 0.512229 0.655247 15.867 0.143585 24.0538 0.093782 4.34528 8.55558
37201.00 1533.63 0.629809 40.621 1.59986 3.59917 0.512133 0.654427 15.8414 0.142904 24.0294 0.0933144 4.35721 8.54912
37101.00 1533.38 0.631387 40.6257 1.59784 3.64317 0.512044 0.653567 15.8159 0.142219 24.0051 0.0928449 4.36926 8.54235
37001.00 1533.12 0.633057 40.6305 1.59579 3.68749 0.511962 0.652665 15.7903 0.141531 23.9806 0.0923735 4.38143 8.53529
36901.00 1532.86 0.634820 40.6353 1.59369 3.73214 0.511886 0.651722 15.7647 0.14084 23.9562 0.0919001 4.39372 8.52792
36801.00 1532.60 0.636678 40.64 1.59155 3.77711 0.511818 0.650737 15.7391 0.140146 23.9316 0.0914249 4.40613 8.52025
36701.00 1532.34 0.638630 40.6448 1.58937 3.82241 0.511756 0.64971 15.7135 0.139449 23.9071 0.0909479 4.41867 8.51227
36601.00 1532.08 0.640679 40.6496 1.58715 3.86802 0.511701 0.64864 15.6879 0.138748 23.8825 0.0904692 4.43133 8.50398
36501.00 1531.81 0.642824 40.6544 1.58488 3.91397 0.511653 0.647528 15.6623 0.138045 23.8578 0.0899887 4.44411 8.49538
36401.00 1531.55 0.645067 40.6592 1.58258 3.96022 0.511611 0.646373 15.6366 0.137338 23.8331 0.0895066 4.45702 8.48648
36301.00 1531.29 0.647409 40.664 1.58023 4.0068 0.511576 0.645176 15.6109 0.136629 23.8083 0.0890229 4.47006 8.47727
36201.00 1531.03 0.649851 40.6688 1.57784 4.0537 0.511547 0.643935 15.5852 0.135917 23.7835 0.0885376 4.48323 8.46774
36101.00 1530.76 0.652394 40.6737 1.5754 4.1009 0.511525 0.64265 15.5595 0.135202 23.7586 0.0880507 4.49653 8.4579
36001.00 1530.50 0.655039 40.6785 1.57293 4.14842 0.511509 0.641322 15.5338 0.134485 23.7337 0.0875624 4.50996 8.44775
35901.00 1530.23 0.657787 40.6834 1.57041 4.19625 0.511498 0.639951 15.5081 0.133765 23.7088 0.0870727 4.52353 8.43729
35801.00 1529.96 0.660639 40.6882 1.56784 4.24439 0.511494 0.638535 15.4824 0.133043 23.6838 0.0865816 4.53722 8.4265
35701.00 1529.70 0.663596 40.6931 1.56524 4.29284 0.511496 0.637075 15.4566 0.132318 23.6587 0.0860891 4.55106 8.41541
35601.00 1529.43 0.666660 40.6981 1.56259 4.34159 0.511504 0.635571 15.4309 0.131591 23.6336 0.0855954 4.56502 8.40399
35501.00 1529.16 0.669832 40.703 1.5599 4.39064 0.511517 0.634022 15.4051 0.130862 23.6085 0.0851004 4.57913 8.39226
35401.00 1528.89 0.673113 40.708 1.55717 4.44 0.511536 0.632429 15.3793 0.130131 23.5833 0.0846042 4.59338 8.3802
35301.00 1528.62 0.676504 40.7129 1.55439 4.48965 0.511561 0.630791 15.3535 0.129397 23.5581 0.0841069 4.60776 8.36783
35201.00 1528.35 0.680006 40.718 1.55158 4.5396 0.511591 0.629108 15.3277 0.128661 23.5328 0.0836085 4.62229 8.35514
35101.00 1528.08 0.683621 40.723 1.54871 4.58984 0.511626 0.62738 15.3019 0.127924 23.5074 0.083109 4.63696 8.34212
35001.00 1527.80 0.687350 40.728 1.54581 4.64037 0.511666 0.625607 15.2761 0.127184 23.4821 0.0826086 4.65177 8.32878
34901.00 1527.53 0.691195 40.7331 1.54286 4.69119 0.511711 0.623788 15.2503 0.126443 23.4567 0.0821072 4.66673 8.31512
34801.00 1527.26 0.695157 40.7383 1.53987 4.7423 0.511761 0.621924 15.2244 0.1257 23.4312 0.0816049 4.68183 8.30114
34701.00 1526.98 0.699236 40.7434 1.53683 4.7937 0.511816 0.620015 15.1986 0.124955 23.4057 0.0811018 4.69709 8.28683
34601.00 1526.71 0.703436 40.7486 1.53376 4.84537 0.511875 0.61806 15.1727 0.124209 23.3801 0.0805978 4.71249 8.27219
34501.00 1526.43 0.707757 40.7538 1.53063 4.89733 0.511938 0.616059 15.1469 0.123461 23.3545 0.0800931 4.72804 8.25723
34401.00 1526.15 0.712200 40.7591 1.52747 4.94956 0.512006 0.614012 15.121 0.122712 23.3289 0.0795878 4.74374 8.24194
34301.00 1525.87 0.716768 40.7644 1.52426 5.00207 0.512078 0.61192 15.0951 0.121961 23.3032 0.0790817 4.7596 8.22633
34201.00 1525.59 0.721462 40.7697 1.52101 5.05484 0.512153 0.609782 15.0693 0.121209 23.2775 0.0785751 4.77561 8.21038
34101.00 1525.31 0.726283 40.7751 1.51771 5.10789 0.512233 0.607598 15.0434 0.120456 23.2517 0.0780679 4.79178 8.19411
34001.00 1525.03 0.731233 40.7805 1.51438 5.1612 0.512315 0.605369 15.0175 0.119702 23.2259 0.0775603 4.8081 8.17751
33901.00 1524.75 0.736314 40.7859 1.51099 5.21478 0.512401 0.603093 14.9916 0.118947 23.2 0.0770522 4.82459 8.16058
33801.00 1524.47 0.741528 40.7914 1.50757 5.26861 0.51249 0.600771 14.9657 0.11819 23.1741 0.0765436 4.84123 8.14332
33701.00 1524.19 0.746876 40.797 1.5041 5.3227 0.512582 0.598404 14.9398 0.117433 23.1481 0.0760348 4.85803 8.12573
33601.00 1523.90 0.752360 40.8026 1.50059 5.37705 0.512676 0.595991 14.9139 0.116675 23.1222 0.0755256 4.875 8.10781
