Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1549.89 100.138999 0.0070573443307804 0.007127 264.326482 -1132011.196945 30.439129 126.166477 -20.319034 1513.109041 -6.372 -6.372 3.257760 3.290042 -0.562 0 0.000
43901.00 1549.67 100.138999 0.0070225406911783 0.007094 264.326482 -1132315.598515 30.441185 126.172946 -20.325285 1513.088085 -6.379 -6.379 3.256493 3.289826 -0.561 0 0.000
43801.00 1549.45 100.138999 0.0069883997069402 0.007062 264.326482 -1132620.020660 30.443244 126.179438 -20.331572 1513.066850 -6.387 -6.387 3.255226 3.289610 -0.559 0 0.000
43701.00 1549.22 100.138999 0.0069549215978199 0.007030 264.326482 -1132924.463408 30.445306 126.185955 -20.337896 1513.045345 -6.394 -6.394 3.253959 3.289393 -0.557 0 0.000
43601.00 1549.00 100.138999 0.0069221066690019 0.006999 264.326482 -1133228.926787 30.447370 126.192497 -20.344257 1513.023579 -6.401 -6.401 3.252692 3.289176 -0.556 0 0.000
43501.00 1548.77 100.138999 0.0068899553121953 0.006969 264.326482 -1133533.410825 30.449438 126.199063 -20.350655 1513.001559 -6.409 -6.409 3.251425 3.288959 -0.554 0 0.000
43401.00 1548.55 100.138999 0.0068584680049005 0.006939 264.326482 -1133837.915551 30.451508 126.205653 -20.357090 1512.979295 -6.416 -6.416 3.250159 3.288742 -0.552 0 0.000
43301.00 1548.32 100.138999 0.0068276453106540 0.006910 264.326482 -1134142.440994 30.453581 126.212268 -20.363563 1512.956796 -6.423 -6.423 3.248893 3.288524 -0.551 0 0.000
43201.00 1548.10 100.138999 0.0067974878873094 0.006882 264.326482 -1134446.987183 30.455657 126.218908 -20.370075 1512.934070 -6.430 -6.430 3.247626 3.288306 -0.549 0 0.000
43101.00 1547.87 100.138999 0.0067679964718449 0.006854 264.326482 -1134751.554150 30.457736 126.225572 -20.376624 1512.911126 -6.438 -6.438 3.246360 3.288088 -0.547 0 0.000
43001.00 1547.64 100.138999 0.0067391718930036 0.006827 264.326482 -1135056.141923 30.459819 126.232260 -20.383213 1512.887974 -6.445 -6.445 3.245094 3.287869 -0.546 0 0.000
42901.00 1547.42 100.138999 0.0067110150794855 0.006801 264.326482 -1135360.750534 30.461904 126.238974 -20.389840 1512.864622 -6.452 -6.452 3.243829 3.287650 -0.544 0 0.000
42801.00 1547.19 100.138999 0.0066835270358397 0.006775 264.326482 -1135665.380014 30.463993 126.245712 -20.396506 1512.841080 -6.459 -6.459 3.242563 3.287431 -0.542 0 0.000
42701.00 1546.96 100.138999 0.0066567088662549 0.006750 264.326482 -1135970.030394 30.466084 126.252475 -20.403213 1512.817357 -6.466 -6.466 3.241298 3.287211 -0.541 0 0.000
42601.00 1546.73 100.138999 0.0066305617655914 0.006726 264.326482 -1136274.701708 30.468179 126.259264 -20.409959 1512.793463 -6.473 -6.473 3.240032 3.286991 -0.539 0 0.000
42501.00 1546.50 100.138999 0.0066050870225988 0.006702 264.326482 -1136579.393986 30.470277 126.266077 -20.416745 1512.769406 -6.479 -6.479 3.238768 3.286770 -0.537 0 0.000
42401.00 1546.27 100.138999 0.0065802860185647 0.006679 264.326482 -1136884.107263 30.472379 126.272915 -20.423572 1512.745197 -6.486 -6.486 3.237503 3.286550 -0.535 0 0.000
42301.00 1546.04 100.138999 0.0065561602295736 0.006657 264.326482 -1137188.841572 30.474484 126.279779 -20.430440 1512.720844 -6.493 -6.493 3.236238 3.286328 -0.534 0 0.000
42201.00 1545.81 100.138999 0.0065327112244528 0.006635 264.326482 -1137493.596946 30.476592 126.286668 -20.437349 1512.696359 -6.500 -6.500 3.234974 3.286107 -0.532 0 0.000
42101.00 1545.58 100.138999 0.0065099406773103 0.006614 264.326482 -1137798.373420 30.478704 126.293582 -20.444300 1512.671750 -6.506 -6.506 3.233710 3.285885 -0.530 0 0.000
42001.00 1545.35 100.138999 0.0064878503537999 0.006594 264.326482 -1138103.171028 30.480819 126.300522 -20.451294 1512.647029 -6.513 -6.513 3.232447 3.285663 -0.528 0 0.000
41901.00 1545.12 100.138999 0.0064664421105818 0.006574 264.326482 -1138407.989806 30.482938 126.307487 -20.458329 1512.622204 -6.519 -6.519 3.231183 3.285440 -0.526 0 0.000
41801.00 1544.88 100.138999 0.0064457179106621 0.006555 264.326482 -1138712.829790 30.485060 126.314478 -20.465407 1512.597286 -6.526 -6.526 3.229920 3.285217 -0.524 0 0.000
41701.00 1544.65 100.138999 0.0064256798249182 0.006537 264.326482 -1139017.691016 30.487186 126.321495 -20.472529 1512.572286 -6.532 -6.532 3.228657 3.284994 -0.523 0 0.000
41601.00 1544.42 100.138999 0.0064063300056253 0.006519 264.326482 -1139322.573521 30.489316 126.328538 -20.479694 1512.547214 -6.538 -6.538 3.227395 3.284770 -0.521 0 0.000
41501.00 1544.18 100.138999 0.0063876707293226 0.006503 264.326482 -1139627.477342 30.491449 126.335606 -20.486904 1512.522080 -6.545 -6.545 3.226133 3.284546 -0.519 0 0.000
41401.00 1543.95 100.138999 0.0063697043578196 0.006486 264.326482 -1139932.402516 30.493586 126.342701 -20.494158 1512.496896 -6.551 -6.551 3.224871 3.284322 -0.517 0 0.000
41301.00 1543.71 100.138999 0.0063524333650624 0.006471 264.326482 -1140237.349082 30.495728 126.349823 -20.501457 1512.471672 -6.557 -6.557 3.223609 3.284097 -0.515 0 0.000
41201.00 1543.48 100.138999 0.0063358603298487 0.006456 264.326482 -1140542.317079 30.497873 126.356970 -20.508801 1512.446420 -6.563 -6.563 3.222348 3.283872 -0.513 0 0.000
41101.00 1543.24 100.138999 0.0063199879367589 0.006442 264.326482 -1140847.306546 30.500022 126.364145 -20.516191 1512.421150 -6.569 -6.569 3.221088 3.283647 -0.511 0 0.000
41001.00 1543.01 100.138999 0.0063048189756690 0.006429 264.326482 -1141152.317523 30.502175 126.371346 -20.523627 1512.395874 -6.575 -6.575 3.219827 3.283421 -0.509 0 0.000
40901.00 1542.77 100.138999 0.0062903563544497 0.006416 264.326482 -1141457.350050 30.504332 126.378574 -20.531110 1512.370603 -6.581 -6.581 3.218567 3.283194 -0.507 0 0.000
40801.00 1542.53 100.138999 0.0062766030750009 0.006404 264.326482 -1141762.404169 30.506493 126.385828 -20.538641 1512.345349 -6.587 -6.587 3.217308 3.282968 -0.505 0 0.000
40701.00 1542.29 100.138999 0.0062635622683006 0.006393 264.326482 -1142067.479920 30.508658 126.393111 -20.546219 1512.320124 -6.593 -6.593 3.216049 3.282740 -0.503 0 0.000
40601.00 1542.06 100.138999 0.0062512371627723 0.006382 264.326482 -1142372.577347 30.510828 126.400420 -20.553846 1512.294940 -6.599 -6.599 3.214790 3.282513 -0.501 0 0.000
40501.00 1541.82 100.138999 0.0062396311092417 0.006372 264.326482 -1142677.696491 30.513002 126.407757 -20.561521 1512.269808 -6.605 -6.605 3.213532 3.282285 -0.499 0 0.000
40401.00 1541.58 100.138999 0.0062287475717316 0.006363 264.326482 -1142982.837396 30.515180 126.415121 -20.569246 1512.244742 -6.610 -6.610 3.212274 3.282057 -0.497 0 0.000
40301.00 1541.34 100.138999 0.0062185901291457 0.006355 264.326482 -1143288.000107 30.517363 126.422514 -20.577020 1512.219754 -6.616 -6.616 3.211016 3.281828 -0.495 0 0.000
40201.00 1541.10 100.138999 0.0062091624857458 0.006347 264.326482 -1143593.184666 30.519550 126.429934 -20.584845 1512.194856 -6.622 -6.622 3.209760 3.281599 -0.493 0 0.000
40101.00 1540.86 100.138999 0.0062004684529231 0.006340 264.326482 -1143898.391121 30.521742 126.437383 -20.592721 1512.170061 -6.627 -6.627 3.208503 3.281369 -0.491 0 0.000
40001.00 1540.61 100.138999 0.0061925119754517 0.006334 264.326482 -1144203.619515 30.523938 126.444860 -20.600648 1512.145383 -6.633 -6.633 3.207247 3.281139 -0.489 0 0.000
39901.00 1540.37 100.138999 0.0061852971140282 0.006329 264.326482 -1144508.869897 30.526139 126.452366 -20.608627 1512.120834 -6.638 -6.638 3.205992 3.280909 -0.487 0 0.000
39801.00 1540.13 100.138999 0.0061788280578827 0.006324 264.326482 -1144814.142312 30.528345 126.459900 -20.616659 1512.096428 -6.643 -6.643 3.204737 3.280678 -0.485 0 0.000
39701.00 1539.89 100.138999 0.0061731091121413 0.006320 264.326482 -1145119.436809 30.530555 126.467464 -20.624745 1512.072179 -6.648 -6.648 3.203483 3.280446 -0.483 0 0.000
39601.00 1539.64 100.138999 0.0061681447248221 0.006317 264.326482 -1145424.753435 30.532771 126.475056 -20.632884 1512.048101 -6.654 -6.654 3.202229 3.280215 -0.481 0 0.000
39501.00 1539.40 100.138999 0.0061639394647135 0.006315 264.326482 -1145730.092241 30.534991 126.482679 -20.641078 1512.024207 -6.659 -6.659 3.200976 3.279982 -0.478 0 0.000
39401.00 1539.16 100.138999 0.0061604980303177 0.006314 264.326482 -1146035.453276 30.537217 126.490330 -20.649327 1512.000512 -6.664 -6.664 3.199723 3.279750 -0.476 0 0.000
39301.00 1538.91 100.138999 0.0061578252556098 0.006313 264.326482 -1146340.836589 30.539447 126.498012 -20.657632 1511.977031 -6.669 -6.669 3.198471 3.279517 -0.474 0 0.000
39201.00 1538.66 100.138999 0.0061559261127020 0.006313 264.326482 -1146646.242234 30.541683 126.505724 -20.665993 1511.953779 -6.674 -6.674 3.197220 3.279283 -0.472 0 0.000
39101.00 1538.42 100.138999 0.0061548057082615 0.006314 264.326482 -1146951.670260 30.543924 126.513466 -20.674412 1511.930769 -6.679 -6.679 3.195969 3.279049 -0.470 0 0.000
39001.00 1538.17 100.138999 0.0061544692846137 0.006315 264.326482 -1147257.120722 30.546170 126.521239 -20.682888 1511.908019 -6.684 -6.684 3.194718 3.278814 -0.467 0 0.000
38901.00 1537.92 100.138999 0.0061549222280007 0.006318 264.326482 -1147562.593672 30.548421 126.529043 -20.691423 1511.885542 -6.688 -6.688 3.193469 3.278579 -0.465 0 0.000
38801.00 1537.68 100.138999 0.0061561700726201 0.006321 264.326482 -1147868.089165 30.550678 126.536878 -20.700017 1511.863355 -6.693 -6.693 3.192220 3.278344 -0.463 0 0.000
38701.00 1537.43 100.138999 0.0061582184873660 0.006325 264.326482 -1148173.607256 30.552941 126.544744 -20.708672 1511.841475 -6.698 -6.698 3.190972 3.278108 -0.461 0 0.000
38601.00 1537.18 100.138999 0.0061610733003689 0.006330 264.326482 -1148479.148000 30.555209 126.552642 -20.717387 1511.819916 -6.702 -6.702 3.189724 3.277872 -0.458 0 0.000
38501.00 1536.93 100.138999 0.0061647404800392 0.006336 264.326482 -1148784.711454 30.557483 126.560572 -20.726163 1511.798696 -6.707 -6.707 3.188477 3.277635 -0.456 0 0.000
38401.00 1536.68 100.138999 0.0061692261524574 0.006343 264.326482 -1149090.297676 30.559762 126.568535 -20.735002 1511.777832 -6.711 -6.711 3.187231 3.277397 -0.454 0 0.000
38301.00 1536.43 100.138999 0.0061745365970605 0.006350 264.326482 -1149395.906724 30.562048 126.576530 -20.743905 1511.757340 -6.716 -6.716 3.185985 3.277159 -0.451 0 0.000
38201.00 1536.18 100.138999 0.0061806782489017 0.006358 264.326482 -1149701.538657 30.564339 126.584557 -20.752871 1511.737238 -6.720 -6.720 3.184740 3.276921 -0.449 0 0.000
38101.00 1535.93 100.138999 0.0061876577077051 0.006368 264.326482 -1150007.193534 30.566637 126.592618 -20.761902 1511.717544 -6.725 -6.725 3.183496 3.276682 -0.447 0 0.000
38001.00 1535.67 100.138999 0.0061954817322647 0.006378 264.326482 -1150312.871417 30.568941 126.600712 -20.770998 1511.698275 -6.729 -6.729 3.182253 3.276442 -0.444 0 0.000
37901.00 1535.42 100.138999 0.0062041572431140 0.006389 264.326482 -1150618.572368 30.571251 126.608841 -20.780161 1511.679451 -6.733 -6.733 3.181010 3.276202 -0.442 0 0.000
37801.00 1535.17 100.138999 0.0062136913330434 0.006400 264.326482 -1150924.296449 30.573567 126.617003 -20.789392 1511.661089 -6.737 -6.737 3.179769 3.275961 -0.439 0 0.000
37701.00 1534.91 100.138999 0.0062240912669240 0.006413 264.326482 -1151230.043723 30.575889 126.625200 -20.798690 1511.643208 -6.741 -6.741 3.178528 3.275720 -0.437 0 0.000
