Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1456.43 100.138999 0.0000000000000000 0.000000 257.287049 -1144523.212596 30.278199 125.288794 -19.920802 1471.697895 -5.603 -5.603 0.000000 3.307297 0.000 0 0.000
43901.00 1456.21 100.138999 0.0000000000000000 0.000000 257.287049 -1144826.004346 30.280151 125.295877 -19.927979 1471.627210 -5.608 -5.608 0.000000 3.307084 0.000 0 0.000
43801.00 1455.98 100.138999 0.0000000000000000 0.000000 257.287049 -1145128.815633 30.282106 125.302960 -19.935162 1471.556715 -5.613 -5.613 0.000000 3.306870 0.000 0 0.000
43701.00 1455.76 100.138999 0.0000000000000000 0.000000 257.287049 -1145431.646483 30.284064 125.310044 -19.942351 1471.486410 -5.618 -5.618 0.000000 3.306657 0.000 0 0.000
43601.00 1455.54 100.138999 0.0000000000000000 0.000000 257.287049 -1145734.496924 30.286025 125.317128 -19.949546 1471.416298 -5.623 -5.623 0.000000 3.306443 0.000 0 0.000
43501.00 1455.32 100.138999 0.0000000000000000 0.000000 257.287049 -1146037.366983 30.287988 125.324214 -19.956748 1471.346380 -5.628 -5.628 0.000000 3.306228 0.000 0 0.000
43401.00 1455.10 100.138999 0.0000000000000000 0.000000 257.287049 -1146340.256685 30.289953 125.331301 -19.963955 1471.276659 -5.632 -5.632 0.000000 3.306014 0.000 0 0.000
43301.00 1454.87 100.138999 0.0000000000000000 0.000000 257.287049 -1146643.166060 30.291922 125.338388 -19.971169 1471.207135 -5.637 -5.637 0.000000 3.305799 0.000 0 0.000
43201.00 1454.65 100.138999 0.0000000000000000 0.000000 257.287049 -1146946.095134 30.293893 125.345477 -19.978389 1471.137812 -5.642 -5.642 0.000000 3.305584 0.000 0 0.000
43101.00 1454.43 100.138999 0.0000000000000000 0.000000 257.287049 -1147249.043936 30.295867 125.352566 -19.985616 1471.068690 -5.647 -5.647 0.000000 3.305368 0.000 0 0.000
43001.00 1454.21 100.138999 0.0000000000000000 0.000000 257.287049 -1147552.012493 30.297844 125.359657 -19.992849 1470.999771 -5.652 -5.652 0.000000 3.305153 0.000 0 0.000
42901.00 1453.99 100.138999 0.0000000000000000 0.000000 257.287049 -1147855.000833 30.299824 125.366749 -20.000088 1470.931058 -5.657 -5.657 0.000000 3.304937 0.000 0 0.000
42801.00 1453.76 100.138999 0.0000000000000000 0.000000 257.287049 -1148158.008985 30.301807 125.373842 -20.007334 1470.862552 -5.662 -5.662 0.000000 3.304720 0.000 0 0.000
42701.00 1453.54 100.138999 0.0000000000000000 0.000000 257.287049 -1148461.036977 30.303792 125.380936 -20.014587 1470.794256 -5.667 -5.667 0.000000 3.304504 0.000 0 0.000
42601.00 1453.32 100.138999 0.0000000000000000 0.000000 257.287049 -1148764.084838 30.305781 125.388031 -20.021846 1470.726170 -5.673 -5.673 0.000000 3.304287 0.000 0 0.000
42501.00 1453.10 100.138999 0.0000000000000000 0.000000 257.287049 -1149067.152598 30.307772 125.395127 -20.029112 1470.658298 -5.678 -5.678 0.000000 3.304070 0.000 0 0.000
42401.00 1452.87 100.138999 0.0000000000000000 0.000000 257.287049 -1149370.240286 30.309766 125.402225 -20.036385 1470.590641 -5.683 -5.683 0.000000 3.303853 0.000 0 0.000
42301.00 1452.65 100.138999 0.0000000000000000 0.000000 257.287049 -1149673.347931 30.311763 125.409324 -20.043664 1470.523202 -5.688 -5.688 0.000000 3.303635 0.000 0 0.000
42201.00 1452.43 100.138999 0.0000000000000000 0.000000 257.287049 -1149976.475562 30.313763 125.416424 -20.050951 1470.455982 -5.693 -5.693 0.000000 3.303417 0.000 0 0.000
42101.00 1452.20 100.138999 0.0000000000000000 0.000000 257.287049 -1150279.623210 30.315767 125.423526 -20.058245 1470.388984 -5.698 -5.698 0.000000 3.303199 0.000 0 0.000
42001.00 1451.98 100.138999 0.0000000000000000 0.000000 257.287049 -1150582.790905 30.317773 125.430629 -20.065545 1470.322209 -5.703 -5.703 0.000000 3.302980 0.000 0 0.000
41901.00 1451.76 100.138999 0.0000000000000000 0.000000 257.287049 -1150885.978678 30.319782 125.437733 -20.072853 1470.255661 -5.708 -5.708 0.000000 3.302761 0.000 0 0.000
41801.00 1451.54 100.138999 0.0000000000000000 0.000000 257.287049 -1151189.186559 30.321795 125.444839 -20.080168 1470.189340 -5.714 -5.714 0.000000 3.302542 0.000 0 0.000
41701.00 1451.31 100.138999 0.0000000000000000 0.000000 257.287049 -1151492.414579 30.323810 125.451947 -20.087491 1470.123251 -5.719 -5.719 0.000000 3.302322 0.000 0 0.000
41601.00 1451.09 100.138999 0.0000000000000000 0.000000 257.287049 -1151795.662769 30.325829 125.459056 -20.094820 1470.057393 -5.724 -5.724 0.000000 3.302103 0.000 0 0.000
41501.00 1450.87 100.138999 0.0000000000000000 0.000000 257.287049 -1152098.931161 30.327850 125.466166 -20.102158 1469.991771 -5.729 -5.729 0.000000 3.301883 0.000 0 0.000
41401.00 1450.64 100.138999 0.0000000000000000 0.000000 257.287049 -1152402.219786 30.329875 125.473278 -20.109502 1469.926387 -5.735 -5.735 0.000000 3.301662 0.000 0 0.000
41301.00 1450.42 100.138999 0.0000000000000000 0.000000 257.287049 -1152705.528676 30.331903 125.480392 -20.116855 1469.861242 -5.740 -5.740 0.000000 3.301441 0.000 0 0.000
41201.00 1450.20 100.138999 0.0000000000000000 0.000000 257.287049 -1153008.857864 30.333935 125.487508 -20.124215 1469.796340 -5.745 -5.745 0.000000 3.301220 0.000 0 0.000
41101.00 1449.97 100.138999 0.0000000000000000 0.000000 257.287049 -1153312.207383 30.335969 125.494625 -20.131582 1469.731682 -5.750 -5.750 0.000000 3.300999 0.000 0 0.000
41001.00 1449.75 100.138999 0.0000000000000000 0.000000 257.287049 -1153615.577264 30.338007 125.501744 -20.138958 1469.667272 -5.756 -5.756 0.000000 3.300777 0.000 0 0.000
40901.00 1449.53 100.138999 0.0000000000000000 0.000000 257.287049 -1153918.967541 30.340049 125.508865 -20.146341 1469.603112 -5.761 -5.761 0.000000 3.300555 0.000 0 0.000
40801.00 1449.30 100.138999 0.0000000000000000 0.000000 257.287049 -1154222.378247 30.342093 125.515988 -20.153733 1469.539204 -5.766 -5.766 0.000000 3.300333 0.000 0 0.000
40701.00 1449.08 100.138999 0.0000000000000000 0.000000 257.287049 -1154525.809416 30.344141 125.523113 -20.161133 1469.475551 -5.772 -5.772 0.000000 3.300110 0.000 0 0.000
40601.00 1448.86 100.138999 0.0000000000000000 0.000000 257.287049 -1154829.261082 30.346193 125.530240 -20.168540 1469.412156 -5.777 -5.777 0.000000 3.299887 0.000 0 0.000
40501.00 1448.63 100.138999 0.0000000000000000 0.000000 257.287049 -1155132.733279 30.348247 125.537369 -20.175956 1469.349022 -5.783 -5.783 0.000000 3.299663 0.000 0 0.000
40401.00 1448.41 100.138999 0.0000000000000000 0.000000 257.287049 -1155436.226042 30.350306 125.544500 -20.183381 1469.286151 -5.788 -5.788 0.000000 3.299440 0.000 0 0.000
40301.00 1448.18 100.138999 0.0000000000000000 0.000000 257.287049 -1155739.739405 30.352367 125.551633 -20.190813 1469.223546 -5.793 -5.793 0.000000 3.299215 0.000 0 0.000
40201.00 1447.96 100.138999 0.0000000000000000 0.000000 257.287049 -1156043.273403 30.354433 125.558768 -20.198255 1469.161210 -5.799 -5.799 0.000000 3.298991 0.000 0 0.000
40101.00 1447.74 100.138999 0.0000000000000000 0.000000 257.287049 -1156346.828073 30.356502 125.565906 -20.205705 1469.099146 -5.804 -5.804 0.000000 3.298766 0.000 0 0.000
40001.00 1447.51 100.138999 0.0000000000000000 0.000000 257.287049 -1156650.403449 30.358574 125.573045 -20.213163 1469.037357 -5.810 -5.810 0.000000 3.298541 0.000 0 0.000
39901.00 1447.29 100.138999 0.0000000000000000 0.000000 257.287049 -1156953.999568 30.360650 125.580187 -20.220631 1468.975846 -5.815 -5.815 0.000000 3.298315 0.000 0 0.000
39801.00 1447.06 100.138999 0.0000000000000000 0.000000 257.287049 -1157257.616466 30.362730 125.587332 -20.228107 1468.914615 -5.821 -5.821 0.000000 3.298089 0.000 0 0.000
39701.00 1446.84 100.138999 0.0000000000000000 0.000000 257.287049 -1157561.254180 30.364813 125.594479 -20.235592 1468.853669 -5.826 -5.826 0.000000 3.297863 0.000 0 0.000
39601.00 1446.61 100.138999 0.0000000000000000 0.000000 257.287049 -1157864.912748 30.366901 125.601628 -20.243086 1468.793010 -5.832 -5.832 0.000000 3.297636 0.000 0 0.000
