Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1445.61 100.138999 0.000000 59.089117 12.815777 13.613583 13.540165 0.000000 1.080356 
43901.00 1445.39 100.138999 0.000000 59.088070 12.803996 13.621513 13.543971 0.000000 1.081449 
43801.00 1445.17 100.138999 0.000000 59.087013 12.792130 13.629491 13.547814 0.000000 1.082551 
43701.00 1444.95 100.138999 0.000000 59.085946 12.780179 13.637517 13.551693 0.000000 1.083664 
43601.00 1444.73 100.138999 0.000000 59.084870 12.768141 13.645592 13.555609 0.000000 1.084786 
43501.00 1444.51 100.138999 0.000000 59.083785 12.756016 13.653717 13.559562 0.000000 1.085919 
43401.00 1444.29 100.138999 0.000000 59.082689 12.743802 13.661892 13.563553 0.000000 1.087062 
43301.00 1444.07 100.138999 0.000000 59.081584 12.731500 13.670117 13.567582 0.000000 1.088216 
43201.00 1443.85 100.138999 0.000000 59.080468 12.719107 13.678393 13.571650 0.000000 1.089380 
43101.00 1443.63 100.138999 0.000000 59.079342 12.706623 13.686721 13.575757 0.000000 1.090556 
43001.00 1443.41 100.138999 0.000000 59.078206 12.694047 13.695101 13.579902 0.000000 1.091742 
42901.00 1443.19 100.138999 0.000000 59.077059 12.681379 13.703534 13.584088 0.000000 1.092939 
42801.00 1442.97 100.138999 0.000000 59.075902 12.668617 13.712020 13.588313 0.000000 1.094148 
42701.00 1442.75 100.138999 0.000000 59.074733 12.655759 13.720560 13.592579 0.000000 1.095368 
42601.00 1442.53 100.138999 0.000000 59.073554 12.642806 13.729154 13.596885 0.000000 1.096600 
42501.00 1442.31 100.138999 0.000000 59.072363 12.629757 13.737802 13.601233 0.000000 1.097843 
42401.00 1442.09 100.138999 0.000000 59.071161 12.616609 13.746507 13.605623 0.000000 1.099099 
42301.00 1441.87 100.138999 0.000000 59.069947 12.603363 13.755267 13.610055 0.000000 1.100367 
42201.00 1441.65 100.138999 0.000000 59.068722 12.590016 13.764085 13.614529 0.000000 1.101647 
42101.00 1441.43 100.138999 0.000000 59.067485 12.576569 13.772959 13.619047 0.000000 1.102940 
42001.00 1441.21 100.138999 0.000000 59.066235 12.563020 13.781892 13.623607 0.000000 1.104245 
41901.00 1440.99 100.138999 0.000000 59.064974 12.549367 13.790883 13.628212 0.000000 1.105563 
41801.00 1440.77 100.138999 0.000000 59.063700 12.535611 13.799933 13.632861 0.000000 1.106895 
41701.00 1440.55 100.138999 0.000000 59.062413 12.521749 13.809043 13.637555 0.000000 1.108240 
41601.00 1440.33 100.138999 0.000000 59.061113 12.507780 13.818214 13.642294 0.000000 1.109598 
41501.00 1440.11 100.138999 0.000000 59.059801 12.493704 13.827446 13.647079 0.000000 1.110970 
41401.00 1439.89 100.138999 0.000000 59.058475 12.479519 13.836740 13.651910 0.000000 1.112356 
41301.00 1439.66 100.138999 0.000000 59.057135 12.465223 13.846096 13.656788 0.000000 1.113756 
41201.00 1439.44 100.138999 0.000000 59.055782 12.450817 13.855516 13.661713 0.000000 1.115171 
41101.00 1439.22 100.138999 0.000000 59.054415 12.436298 13.865000 13.666686 0.000000 1.116600 
41001.00 1439.00 100.138999 0.000000 59.053034 12.421665 13.874548 13.671707 0.000000 1.118044 
40901.00 1438.78 100.138999 0.000000 59.051639 12.406917 13.884163 13.676777 0.000000 1.119503 
40801.00 1438.56 100.138999 0.000000 59.050229 12.392053 13.893843 13.681896 0.000000 1.120978 
40701.00 1438.34 100.138999 0.000000 59.048804 12.377071 13.903590 13.687065 0.000000 1.122468 
40601.00 1438.12 100.138999 0.000000 59.047365 12.361970 13.913406 13.692284 0.000000 1.123974 
40501.00 1437.90 100.138999 0.000000 59.045910 12.346749 13.923290 13.697555 0.000000 1.125495 
40401.00 1437.67 100.138999 0.000000 59.044439 12.331406 13.933243 13.702876 0.000000 1.127034 
40301.00 1437.45 100.138999 0.000000 59.042953 12.315940 13.943267 13.708250 0.000000 1.128588 
40201.00 1437.23 100.138999 0.000000 59.041451 12.300350 13.953362 13.713676 0.000000 1.130160 
40101.00 1437.01 100.138999 0.000000 59.039932 12.284633 13.963529 13.719156 0.000000 1.131749 
40001.00 1436.79 100.138999 0.000000 59.038397 12.268789 13.973769 13.724689 0.000000 1.133355 
39901.00 1436.57 100.138999 0.000000 59.036845 12.252816 13.984082 13.730277 0.000000 1.134978 
39801.00 1436.34 100.138999 0.000000 59.035277 12.236713 13.994470 13.735919 0.000000 1.136620 
39701.00 1436.12 100.138999 0.000000 59.033690 12.220477 14.004934 13.741618 0.000000 1.138280 
39601.00 1435.90 100.138999 0.000000 59.032086 12.204108 14.015474 13.747372 0.000000 1.139959 
39501.00 1435.68 100.138999 0.000000 59.030464 12.187604 14.026092 13.753183 0.000000 1.141656 
39401.00 1435.46 100.138999 0.000000 59.028824 12.170963 14.036788 13.759052 0.000000 1.143373 
39301.00 1435.23 100.138999 0.000000 59.027165 12.154183 14.047564 13.764978 0.000000 1.145109 
39201.00 1435.01 100.138999 0.000000 59.025488 12.137264 14.058419 13.770964 0.000000 1.146865 
39101.00 1434.79 100.138999 0.000000 59.023791 12.120202 14.069357 13.777009 0.000000 1.148641 
39001.00 1434.57 100.138999 0.000000 59.022075 12.102997 14.080377 13.783114 0.000000 1.150437 
38901.00 1434.35 100.138999 0.000000 59.020338 12.085647 14.091480 13.789279 0.000000 1.152255 
38801.00 1434.12 100.138999 0.000000 59.018582 12.068149 14.102668 13.795507 0.000000 1.154093 
38701.00 1433.90 100.138999 0.000000 59.016805 12.050503 14.113942 13.801796 0.000000 1.155954 
38601.00 1433.68 100.138999 0.000000 59.015007 12.032705 14.125302 13.808149 0.000000 1.157836 
38501.00 1433.45 100.138999 0.000000 59.013188 12.014755 14.136750 13.814565 0.000000 1.159740 
38401.00 1433.23 100.138999 0.000000 59.011347 11.996651 14.148288 13.821046 0.000000 1.161667 
38301.00 1433.01 100.138999 0.000000 59.009485 11.978390 14.159916 13.827591 0.000000 1.163618 
38201.00 1432.79 100.138999 0.000000 59.007600 11.959970 14.171635 13.834203 0.000000 1.165591 
38101.00 1432.56 100.138999 0.000000 59.005692 11.941390 14.183447 13.840881 0.000000 1.167589 
38001.00 1432.34 100.138999 0.000000 59.003761 11.922647 14.195353 13.847627 0.000000 1.169611 
37901.00 1432.12 100.138999 0.000000 59.001806 11.903739 14.207355 13.854442 0.000000 1.171658 
37801.00 1431.89 100.138999 0.000000 58.999827 11.884665 14.219452 13.861325 0.000000 1.173730 
37701.00 1431.67 100.138999 0.000000 58.997824 11.865421 14.231648 13.868278 0.000000 1.175827 
37601.00 1431.44 100.138999 0.000000 58.995796 11.846006 14.243943 13.875303 0.000000 1.177951 
37501.00 1431.22 100.138999 0.000000 58.993743 11.826418 14.256339 13.882399 0.000000 1.180101 
37401.00 1431.00 100.138999 0.000000 58.991664 11.806654 14.268836 13.889567 0.000000 1.182278 
37301.00 1430.77 100.138999 0.000000 58.989558 11.786712 14.281437 13.896809 0.000000 1.184483 
37201.00 1430.55 100.138999 0.000000 58.987426 11.766589 14.294143 13.904125 0.000000 1.186716 
37101.00 1430.32 100.138999 0.000000 58.985267 11.746283 14.306956 13.911516 0.000000 1.188977 
37001.00 1430.10 100.138999 0.000000 58.983080 11.725792 14.319876 13.918984 0.000000 1.191268 
36901.00 1429.88 100.138999 0.000000 58.980864 11.705113 14.332905 13.926529 0.000000 1.193588 
36801.00 1429.65 100.138999 0.000000 58.978620 11.684243 14.346046 13.934151 0.000000 1.195938 
36701.00 1429.43 100.138999 0.000000 58.976347 11.663181 14.359299 13.941853 0.000000 1.198319 
36601.00 1429.20 100.138999 0.000000 58.974044 11.641922 14.372667 13.949635 0.000000 1.200731 
36501.00 1428.98 100.138999 0.000000 58.971710 11.620466 14.386150 13.957498 0.000000 1.203174 
36401.00 1428.75 100.138999 0.000000 58.969346 11.598807 14.399752 13.965444 0.000000 1.205651 
36301.00 1428.53 100.138999 0.000000 58.966950 11.576945 14.413472 13.973472 0.000000 1.208160 
36201.00 1428.30 100.138999 0.000000 58.964522 11.554876 14.427314 13.981584 0.000000 1.210703 
36101.00 1428.08 100.138999 0.000000 58.962061 11.532597 14.441279 13.989782 0.000000 1.213280 
36001.00 1427.85 100.138999 0.000000 58.959567 11.510105 14.455368 13.998067 0.000000 1.215892 
35901.00 1427.62 100.138999 0.000000 58.957038 11.487398 14.469584 14.006438 0.000000 1.218540 
35801.00 1427.40 100.138999 0.000000 58.954476 11.464471 14.483929 14.014899 0.000000 1.221224 
35701.00 1427.17 100.138999 0.000000 58.951877 11.441322 14.498405 14.023449 0.000000 1.223945 
35601.00 1426.95 100.138999 0.000000 58.949243 11.417948 14.513013 14.032091 0.000000 1.226704 
35501.00 1426.72 100.138999 0.000000 58.946572 11.394345 14.527756 14.040825 0.000000 1.229501 
35401.00 1426.49 100.138999 0.000000 58.943864 11.370510 14.542636 14.049652 0.000000 1.232337 
35301.00 1426.27 100.138999 0.000000 58.941118 11.346440 14.557654 14.058574 0.000000 1.235213 
35201.00 1426.04 100.138999 0.000000 58.938333 11.322131 14.572814 14.067591 0.000000 1.238130 
35101.00 1425.81 100.138999 0.000000 58.935508 11.297579 14.588117 14.076707 0.000000 1.241088 
35001.00 1425.59 100.138999 0.000000 58.932642 11.272782 14.603566 14.085921 0.000000 1.244089 
34901.00 1425.36 100.138999 0.000000 58.929736 11.247734 14.619163 14.095234 0.000000 1.247132 
34801.00 1425.13 100.138999 0.000000 58.926787 11.222433 14.634910 14.104650 0.000000 1.250220 
34701.00 1424.91 100.138999 0.000000 58.923796 11.196874 14.650809 14.114167 0.000000 1.253352 
34601.00 1424.68 100.138999 0.000000 58.920761 11.171054 14.666865 14.123790 0.000000 1.256531 
34501.00 1424.45 100.138999 0.000000 58.917681 11.144968 14.683077 14.133517 0.000000 1.259756 
34401.00 1424.22 100.138999 0.000000 58.914555 11.118613 14.699451 14.143352 0.000000 1.263028 
34301.00 1423.99 100.138999 0.000000 58.911384 11.091984 14.715987 14.153296 0.000000 1.266349 
34201.00 1423.77 100.138999 0.000000 58.908164 11.065077 14.732689 14.163349 0.000000 1.269720 
