Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
44001.00 1396.04 100.138983 0.000000 59.090862 13.061336 13.783063 13.145331 0.000000 0.000000 1.058391 
43901.00 1395.83 100.138983 0.000000 59.089971 13.050739 13.791257 13.147677 0.000000 0.000000 1.059339 
43801.00 1395.63 100.138983 0.000000 59.089072 13.040066 13.799501 13.150049 0.000000 0.000000 1.060296 
43701.00 1395.42 100.138983 0.000000 59.088165 13.029318 13.807793 13.152448 0.000000 0.000000 1.061260 
43601.00 1395.21 100.138983 0.000000 59.087250 13.018492 13.816135 13.154873 0.000000 0.000000 1.062233 
43501.00 1395.00 100.138983 0.000000 59.086328 13.007590 13.824527 13.157325 0.000000 0.000000 1.063214 
43401.00 1394.79 100.138983 0.000000 59.085397 12.996609 13.832969 13.159804 0.000000 0.000000 1.064204 
43301.00 1394.58 100.138983 0.000000 59.084459 12.985548 13.841463 13.162310 0.000000 0.000000 1.065202 
43201.00 1394.37 100.138983 0.000000 59.083512 12.974408 13.850008 13.164844 0.000000 0.000000 1.066210 
43101.00 1394.16 100.138983 0.000000 59.082557 12.963188 13.858606 13.167407 0.000000 0.000000 1.067226 
43001.00 1393.95 100.138983 0.000000 59.081593 12.951886 13.867256 13.169997 0.000000 0.000000 1.068251 
42901.00 1393.74 100.138983 0.000000 59.080621 12.940501 13.875959 13.172616 0.000000 0.000000 1.069286 
42801.00 1393.53 100.138983 0.000000 59.079639 12.929034 13.884716 13.175264 0.000000 0.000000 1.070330 
42701.00 1393.32 100.138983 0.000000 59.078649 12.917483 13.893527 13.177941 0.000000 0.000000 1.071383 
42601.00 1393.11 100.138983 0.000000 59.077650 12.905846 13.902393 13.180647 0.000000 0.000000 1.072446 
42501.00 1392.91 100.138983 0.000000 59.076642 12.894125 13.911314 13.183383 0.000000 0.000000 1.073519 
42401.00 1392.70 100.138983 0.000000 59.075625 12.882316 13.920291 13.186150 0.000000 0.000000 1.074601 
42301.00 1392.49 100.138983 0.000000 59.074598 12.870420 13.929325 13.188946 0.000000 0.000000 1.075694 
42201.00 1392.28 100.138983 0.000000 59.073561 12.858436 13.938415 13.191773 0.000000 0.000000 1.076797 
42101.00 1392.07 100.138983 0.000000 59.072515 12.846363 13.947564 13.194631 0.000000 0.000000 1.077910 
42001.00 1391.86 100.138983 0.000000 59.071459 12.834200 13.956770 13.197520 0.000000 0.000000 1.079034 
41901.00 1391.65 100.138983 0.000000 59.070393 12.821945 13.966036 13.200441 0.000000 0.000000 1.080168 
41801.00 1391.44 100.138983 0.000000 59.069317 12.809598 13.975360 13.203394 0.000000 0.000000 1.081313 
41701.00 1391.23 100.138983 0.000000 59.068231 12.797159 13.984745 13.206379 0.000000 0.000000 1.082469 
