Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
38501.00 1368.03 100.138985 0.000000 59.030206 12.447695 14.352709 13.192155 0.000000 0.000000 1.116220 
38401.00 1367.82 100.138985 0.000000 59.028761 12.432136 14.364443 13.195879 0.000000 0.000000 1.117766 
38301.00 1367.61 100.138985 0.000000 59.027299 12.416446 14.376264 13.199646 0.000000 0.000000 1.119329 
38201.00 1367.40 100.138985 0.000000 59.025820 12.400625 14.388172 13.203456 0.000000 0.000000 1.120911 
38101.00 1367.19 100.138985 0.000000 59.024325 12.384670 14.400170 13.207309 0.000000 0.000000 1.122511 
38001.00 1366.99 100.138985 0.000000 59.022811 12.368579 14.412259 13.211207 0.000000 0.000000 1.124129 
37901.00 1366.78 100.138985 0.000000 59.021280 12.352351 14.424439 13.215148 0.000000 0.000000 1.125766 
37801.00 1366.57 100.138985 0.000000 59.019731 12.335985 14.436711 13.219135 0.000000 0.000000 1.127423 
37701.00 1366.36 100.138985 0.000000 59.018163 12.319478 14.449077 13.223167 0.000000 0.000000 1.129099 
37601.00 1366.15 100.138985 0.000000 59.016577 12.302829 14.461539 13.227245 0.000000 0.000000 1.130795 
37501.00 1365.94 100.138985 0.000000 59.014971 12.286036 14.474096 13.231370 0.000000 0.000000 1.132511 
37401.00 1365.73 100.138985 0.000000 59.013346 12.269097 14.486751 13.235542 0.000000 0.000000 1.134248 
37301.00 1365.53 100.138985 0.000000 59.011702 12.252010 14.499505 13.239762 0.000000 0.000000 1.136006 
37201.00 1365.32 100.138985 0.000000 59.010037 12.234773 14.512359 13.244030 0.000000 0.000000 1.137786 
37101.00 1365.11 100.138985 0.000000 59.008351 12.217385 14.525315 13.248346 0.000000 0.000000 1.139587 
37001.00 1364.90 100.138985 0.000000 59.006645 12.199844 14.538373 13.252713 0.000000 0.000000 1.141410 
36901.00 1364.69 100.138985 0.000000 59.004917 12.182147 14.551535 13.257129 0.000000 0.000000 1.143256 
36801.00 1364.48 100.138985 0.000000 59.003168 12.164293 14.564803 13.261596 0.000000 0.000000 1.145125 
36701.00 1364.27 100.138985 0.000000 59.001397 12.146279 14.578178 13.266115 0.000000 0.000000 1.147017 
36601.00 1364.06 100.138985 0.000000 58.999603 12.128103 14.591661 13.270685 0.000000 0.000000 1.148933 
36501.00 1363.85 100.138985 0.000000 58.997787 12.109763 14.605254 13.275308 0.000000 0.000000 1.150873 
36401.00 1363.64 100.138985 0.000000 58.995947 12.091258 14.618958 13.279984 0.000000 0.000000 1.152839 
36301.00 1363.43 100.138985 0.000000 58.994083 12.072584 14.632775 13.284714 0.000000 0.000000 1.154829 
36201.00 1363.22 100.138985 0.000000 58.992195 12.053739 14.646707 13.289499 0.000000 0.000000 1.156845 
36101.00 1363.01 100.138985 0.000000 58.990282 12.034722 14.660755 13.294339 0.000000 0.000000 1.158887 
36001.00 1362.80 100.138985 0.000000 58.988345 12.015529 14.674920 13.299235 0.000000 0.000000 1.160955 
35901.00 1362.59 100.138985 0.000000 58.986382 11.996159 14.689205 13.304187 0.000000 0.000000 1.163051 
35801.00 1362.38 100.138985 0.000000 58.984392 11.976609 14.703611 13.309198 0.000000 0.000000 1.165175 
35701.00 1362.17 100.138985 0.000000 58.982376 11.956876 14.718140 13.314266 0.000000 0.000000 1.167326 
35601.00 1361.96 100.138985 0.000000 58.980333 11.936958 14.732794 13.319393 0.000000 0.000000 1.169506 
35501.00 1361.75 100.138985 0.000000 58.978262 11.916853 14.747574 13.324580 0.000000 0.000000 1.171716 
35401.00 1361.54 100.138985 0.000000 58.976164 11.896557 14.762482 13.329828 0.000000 0.000000 1.173955 
35301.00 1361.33 100.138985 0.000000 58.974036 11.876068 14.777520 13.335136 0.000000 0.000000 1.176225 
35201.00 1361.12 100.138985 0.000000 58.971879 11.855383 14.792690 13.340507 0.000000 0.000000 1.178526 
35101.00 1360.91 100.138985 0.000000 58.969693 11.834499 14.807994 13.345941 0.000000 0.000000 1.180858 
35001.00 1360.70 100.138985 0.000000 58.967475 11.813414 14.823434 13.351438 0.000000 0.000000 1.183223 
34901.00 1360.49 100.138985 0.000000 58.965227 11.792125 14.839012 13.357000 0.000000 0.000000 1.185620 
34801.00 1360.27 100.138985 0.000000 58.962947 11.770628 14.854730 13.362628 0.000000 0.000000 1.188051 
