Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
17501.00 1366.98 0.003669 0.010666 -42.233395 0.001306 0.005668 1.154 47.5202 0.821691 16.1548 0.14435 0.288389 7.28767 0.0291031 12.535 0.0170678 5.2563 9.94548
17401.00 1366.64 0.037840 0.109953 -435.848995 0.013473 0.058454 1.162 47.5663 0.82088 16.1717 0.14589 0.285209 7.27394 0.0288029 12.5259 0.0168863 5.30297 9.86144
17301.00 1366.29 0.072536 0.210690 -836.103435 0.025833 0.112060 1.170 47.6122 0.820082 16.1884 0.147459 0.282036 7.26035 0.0285041 12.517 0.0167056 5.35018 9.777
17201.00 1365.94 0.107775 0.312923 -1243.204883 0.038394 0.166510 1.178 47.6579 0.819298 16.2049 0.14906 0.278872 7.2469 0.0282066 12.5082 0.0165259 5.39793 9.69215
17101.00 1365.59 0.143573 0.416701 -1657.369706 0.051161 0.221834 1.185 47.7034 0.818528 16.2211 0.150692 0.275718 7.23358 0.0279105 12.4996 0.0163471 5.44623 9.6069
17001.00 1365.24 0.179951 0.522074 -2078.822837 0.064141 0.278058 1.193 47.7486 0.817771 16.2371 0.152356 0.272573 7.2204 0.0276158 12.491 0.0161691 5.49509 9.52126
16901.00 1364.88 0.216926 0.629094 -2507.798147 0.077341 0.335214 1.201 47.7936 0.817027 16.2529 0.154054 0.269437 7.20735 0.0273224 12.4826 0.0159921 5.54451 9.43523
16801.00 1364.52 0.254518 0.737816 -2944.538851 0.090767 0.393330 1.209 47.8383 0.816297 16.2684 0.155785 0.266313 7.19444 0.0270305 12.4743 0.015816 5.5945 9.34881
16701.00 1364.17 0.292749 0.848297 -3389.297915 0.104429 0.452441 1.216 47.8828 0.815579 16.2836 0.157551 0.263199 7.18167 0.02674 12.4661 0.0156408 5.64506 9.26201
16601.00 1363.81 0.331639 0.960594 -3842.338495 0.118332 0.512578 1.224 47.927 0.814875 16.2986 0.159353 0.260097 7.16903 0.026451 12.4581 0.0154665 5.6962 9.17483
16501.00 1363.44 0.371210 1.074770 -4303.934382 0.132486 0.573776 1.232 47.9709 0.814183 16.3134 0.16119 0.257006 7.15653 0.0261633 12.4501 0.0152931 5.74792 9.08728
16401.00 1363.08 0.411487 1.190887 -4774.370473 0.146898 0.636072 1.239 48.0146 0.813503 16.3279 0.163065 0.253927 7.14417 0.0258771 12.4423 0.0151207 5.80023 8.99936
16301.00 1362.71 0.452494 1.309012 -5253.943263 0.161578 0.699502 1.247 48.0579 0.812836 16.3421 0.164978 0.250862 7.13193 0.0255923 12.4346 0.0149492 5.85314 8.91107
16201.00 1362.34 0.494254 1.429213 -5742.961355 0.176534 0.764106 1.255 48.101 0.81218 16.3561 0.166929 0.247809 7.11984 0.0253089 12.427 0.0147786 5.90664 8.82244
16101.00 1361.97 0.536796 1.551563 -6241.745986 0.191775 0.829924 1.262 48.1438 0.811536 16.3698 0.16892 0.24477 7.10787 0.0250271 12.4194 0.014609 5.96075 8.73345
16001.00 1361.60 0.580145 1.676135 -6750.631582 0.207313 0.896999 1.270 48.1863 0.810903 16.3833 0.170952 0.241746 7.09603 0.0247466 12.412 0.0144403 6.01546 8.64412
15901.00 1361.23 0.624330 1.803007 -7269.966327 0.223156 0.965375 1.278 48.2284 0.81028 16.3965 0.173025 0.238736 7.08433 0.0244677 12.4047 0.0142725 6.07079 8.55445
15801.00 1360.85 0.669381 1.932260 -7800.112762 0.239315 1.035096 1.285 48.2703 0.809668 16.4095 0.175141 0.235741 7.07275 0.0241902 12.3975 0.0141057 6.12674 8.46446
15701.00 1360.47 0.715328 2.063976 -8341.448393 0.255802 1.106212 1.293 48.3118 0.809066 16.4221 0.1773 0.232761 7.06129 0.0239142 12.3904 0.0139398 6.1833 8.37415
15601.00 1360.08 0.762204 2.198245 -8894.366337 0.272628 1.178771 1.301 48.353 0.808473 16.4346 0.179503 0.229798 7.04996 0.0236396 12.3833 0.0137749 6.24049 8.28352
15501.00 1359.70 0.810041 2.335156 -9459.275974 0.289805 1.252825 1.308 48.3938 0.807888 16.4467 0.181751 0.226852 7.03875 0.0233666 12.3764 0.013611 6.2983 8.1926
15401.00 1359.31 0.858875 2.474804 -10036.603631 0.307346 1.328427 1.316 48.4343 0.807311 16.4586 0.184045 0.223923 7.02766 0.0230951 12.3695 0.013448 6.35674 8.10138
15301.00 1358.91 0.908741 2.617287 -10626.793280 0.325263 1.405634 1.323 48.4745 0.806742 16.4702 0.186385 0.221011 7.01668 0.022825 12.3626 0.0132859 6.41581 8.00988
15201.00 1358.52 0.959677 2.762708 -11230.307270 0.343570 1.484504 1.331 48.5144 0.806179 16.4815 0.188774 0.218118 7.00581 0.0225565 12.3559 0.0131248 6.47551 7.91811
15101.00 1358.12 1.011722 2.911172 -11847.627054 0.362282 1.565097 1.338 48.5539 0.805622 16.4926 0.191212 0.215244 6.99505 0.0222895 12.3492 0.0129647 6.53585 7.82608
15001.00 1357.72 1.054359 3.032427 -12355.533766 0.377631 1.631144 1.346 48.593 0.805072 16.5034 0.1937 0.212386 6.98442 0.0220241 12.3426 0.0128055 6.59685 7.73377
14901.00 1357.31 1.054382 3.031049 -12364.385393 0.377719 1.631268 1.353 48.6316 0.804543 16.5139 0.196243 0.209537 6.974 0.0217601 12.3361 0.0126474 6.65862 7.641
14801.00 1356.91 1.054415 3.029684 -12373.315872 0.377808 1.631405 1.361 48.6697 0.804033 16.5242 0.198843 0.206695 6.9638 0.0214977 12.3298 0.0124902 6.72116 7.54779
14701.00 1356.50 1.054456 3.028332 -12382.329438 0.377900 1.631556 1.368 48.7073 0.803544 16.5341 0.201501 0.203862 6.95382 0.0212368 12.3237 0.012334 6.78449 7.45413
14601.00 1356.09 1.054507 3.026995 -12391.430603 0.377993 1.631723 1.375 48.7443 0.803074 16.5437 0.204218 0.201038 6.94406 0.0209774 12.3178 0.0121788 6.84862 7.36004
14501.00 1355.68 1.054569 3.025674 -12400.624124 0.378088 1.631905 1.383 48.7808 0.802624 16.5531 0.206997 0.198223 6.93452 0.0207196 12.312 0.0120246 6.91356 7.26551
14401.00 1355.27 1.054641 3.024370 -12409.914994 0.378186 1.632103 1.390 48.8167 0.802195 16.5621 0.209838 0.195418 6.9252 0.0204633 12.3064 0.0118713 6.97931 7.17056
14301.00 1354.86 1.054725 3.023084 -12419.308517 0.378286 1.632318 1.397 48.852 0.801785 16.5708 0.212744 0.192623 6.91611 0.0202086 12.3009 0.0117191 7.04588 7.07518
14201.00 1354.44 1.054820 3.021818 -12428.810295 0.378388 1.632551 1.404 48.8868 0.801396 16.5793 0.215715 0.189839 6.90724 0.0199554 12.2956 0.0115679 7.11329 6.97938
14101.00 1354.02 1.054928 3.020572 -12438.426227 0.378494 1.632803 1.411 48.9209 0.801026 16.5874 0.218754 0.187066 6.89859 0.0197038 12.2904 0.0114176 7.18153 6.88317
14001.00 1353.60 1.055048 3.019348 -12448.162553 0.378602 1.633074 1.418 48.9545 0.800676 16.5952 0.221863 0.184305 6.89017 0.0194538 12.2854 0.0112684 7.25063 6.78655
13901.00 1353.18 1.055182 3.018148 -12458.025873 0.378713 1.633366 1.426 48.9874 0.800346 16.6027 0.225042 0.181556 6.88197 0.0192053 12.2805 0.0111201 7.32058 6.68954
13801.00 1352.75 1.055330 3.016973 -12468.023145 0.378827 1.633678 1.432 49.0197 0.800034 16.6099 0.228293 0.178819 6.87399 0.0189583 12.2758 0.0109729 7.3914 6.59213
