Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1429.38 100.138999 0.000000 59.090145 12.898259 13.682292 13.395443 0.000000 1.072860 
43901.00 1429.16 100.138999 0.000000 59.089151 12.886879 13.690367 13.398699 0.000000 1.073903 
43801.00 1428.95 100.138999 0.000000 59.088149 12.875417 13.698491 13.401987 0.000000 1.074955 
43701.00 1428.73 100.138999 0.000000 59.087138 12.863873 13.706664 13.405308 0.000000 1.076016 
43601.00 1428.51 100.138999 0.000000 59.086117 12.852246 13.714886 13.408662 0.000000 1.077087 
43501.00 1428.30 100.138999 0.000000 59.085088 12.840535 13.723159 13.412049 0.000000 1.078168 
43401.00 1428.08 100.138999 0.000000 59.084050 12.828740 13.731482 13.415470 0.000000 1.079258 
43301.00 1427.87 100.138999 0.000000 59.083002 12.816858 13.739857 13.418924 0.000000 1.080358 
43201.00 1427.65 100.138999 0.000000 59.081944 12.804890 13.748283 13.422413 0.000000 1.081468 
43101.00 1427.43 100.138999 0.000000 59.080877 12.792834 13.756762 13.425937 0.000000 1.082589 
43001.00 1427.22 100.138999 0.000000 59.079801 12.780690 13.765293 13.429496 0.000000 1.083719 
42901.00 1427.00 100.138999 0.000000 59.078714 12.768457 13.773878 13.433090 0.000000 1.084860 
42801.00 1426.78 100.138999 0.000000 59.077617 12.756134 13.782516 13.436719 0.000000 1.086012 
42701.00 1426.57 100.138999 0.000000 59.076511 12.743720 13.791209 13.440385 0.000000 1.087175 
42601.00 1426.35 100.138999 0.000000 59.075393 12.731213 13.799957 13.444087 0.000000 1.088348 
42501.00 1426.13 100.138999 0.000000 59.074266 12.718614 13.808761 13.447826 0.000000 1.089533 
42401.00 1425.92 100.138999 0.000000 59.073127 12.705921 13.817621 13.451602 0.000000 1.090729 
42301.00 1425.70 100.138999 0.000000 59.071978 12.693132 13.826537 13.455415 0.000000 1.091936 
42201.00 1425.48 100.138999 0.000000 59.070818 12.680248 13.835511 13.459267 0.000000 1.093155 
42101.00 1425.27 100.138999 0.000000 59.069647 12.667267 13.844543 13.463156 0.000000 1.094386 
42001.00 1425.05 100.138999 0.000000 59.068464 12.654188 13.853633 13.467085 0.000000 1.095628 
41901.00 1424.83 100.138999 0.000000 59.067270 12.641010 13.862783 13.471052 0.000000 1.096883 
41801.00 1424.62 100.138999 0.000000 59.066064 12.627732 13.871993 13.475059 0.000000 1.098150 
41701.00 1424.40 100.138999 0.000000 59.064847 12.614353 13.881263 13.479106 0.000000 1.099430 
41601.00 1424.18 100.138999 0.000000 59.063617 12.600871 13.890594 13.483194 0.000000 1.100722 
41501.00 1423.97 100.138999 0.000000 59.062376 12.587287 13.899987 13.487322 0.000000 1.102028 
