Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
1401.00 1147.37 0.059414 0.154670 -775.230133 0.022926 0.089814 3.875 57.8486 1.45768 17.4575 0.703043 0.0887045 3.16029 0.00285324 6.78577 0.00139737 10.6829 1.81124
1301.00 1145.59 0.753869 1.960813 -9847.359008 0.291258 1.139341 3.912 58.0284 1.3896 17.4408 0.696363 0.0878638 3.12047 0.0027739 6.74487 0.001356 10.7083 1.77919
1201.00 1143.77 1.471720 3.824569 -19245.456342 0.569312 2.223733 3.949 58.2069 1.32424 17.424 0.689191 0.0870596 3.08073 0.00269695 6.70354 0.00131589 10.7321 1.74826
1101.00 1141.93 1.728295 4.487324 -22625.668312 0.669406 2.610799 3.987 58.3857 1.25961 17.4075 0.681521 0.0862621 3.0411 0.00262176 6.66186 0.00127675 10.7546 1.71803
1001.00 1140.06 1.729520 4.486448 -22666.897283 0.670729 2.612031 4.025 58.5651 1.19479 17.3915 0.673347 0.085457 3.00163 0.00254803 6.61989 0.00123844 10.7763 1.68819
901.00 1138.16 1.730907 4.485936 -22710.423337 0.672123 2.613501 4.064 58.7448 1.12999 17.3761 0.664696 0.0846452 2.96235 0.00247578 6.57767 0.00120097 10.7974 1.65868
801.00 1136.25 1.732464 4.485801 -22756.336511 0.673589 2.615223 4.103 58.9245 1.06544 17.3612 0.65559 0.0838273 2.92332 0.00240502 6.53526 0.00116432 10.8179 1.6294
701.00 1134.30 1.734195 4.486045 -22804.671179 0.675127 2.617201 4.142 59.1037 1.00138 17.347 0.646055 0.0830038 2.88456 0.00233575 6.49269 0.00112851 10.8379 1.60025
601.00 1132.34 1.736098 4.486658 -22855.395098 0.676735 2.619435 4.182 59.2822 0.938021 17.3333 0.636118 0.0821751 2.84613 0.00226797 6.45 0.00109353 10.8575 1.57114
501.00 1130.34 1.738166 4.487612 -22908.395608 0.678410 2.621914 4.222 59.4595 0.87559 17.3202 0.625802 0.0813413 2.80807 0.00220167 6.40726 0.00105937 10.877 1.54195
401.00 1128.31 1.740382 4.488860 -22963.462123 0.680143 2.624615 4.262 59.6353 0.814305 17.3077 0.615136 0.0805022 2.77041 0.00213684 6.3645 0.00102603 10.8964 1.51257
301.00 1126.26 1.742724 4.490332 -23020.263665 0.681925 2.627504 4.303 59.809 0.754379 17.2959 0.604147 0.0796569 2.73321 0.00207347 6.3218 0.00099348 10.916 1.48286
201.00 1124.18 1.745156 4.491928 -23078.319585 0.683740 2.630528 4.344 59.9802 0.696019 17.2848 0.592864 0.0788044 2.69652 0.00201151 6.27919 0.000961718 10.9359 1.45268
101.00 1122.06 1.747628 4.493513 -23136.960586 0.685566 2.633615 4.384 60.1486 0.639425 17.2745 0.581318 0.0779428 2.66038 0.00195094 6.23676 0.000930719 10.9564 1.42185
1.00 1119.91 1.750074 4.494904 -23195.272709 0.687379 2.636664 4.425 60.3135 0.584787 17.2649 0.569543 0.0770694 2.62486 0.00189171 6.19459 0.00090046 10.9778 1.39017

clinopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
42801.00 1228.41 12.513210 29.358748 -149316.904941 3.810286 14.914350 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7301 0.700989 3.58859 0.733705 0 2.59817 0 17.8814 0 17.8967 1.87035
42701.00 1228.23 12.513431 29.359489 -149358.002655 3.810568 14.915348 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7269 0.700647 3.59501 0.733199 0 2.59931 0 17.8794 0 17.8951 1.87041
42601.00 1228.05 12.513665 29.360261 -149399.263089 3.810853 14.916361 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7237 0.700303 3.60146 0.732692 0 2.60046 0 17.8774 0 17.8935 1.87047
42501.00 1227.88 12.513913 29.361064 -149440.688104 3.811142 14.917390 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7204 0.699956 3.60795 0.732185 0 2.60161 0 17.8754 0 17.892 1.87052
42401.00 1227.70 12.514174 29.361899 -149482.279579 3.811436 14.918434 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7171 0.699608 3.61447 0.731678 0 2.60276 0 17.8733 0 17.8904 1.87058
42301.00 1227.52 12.514448 29.362765 -149524.039418 3.811733 14.919494 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7138 0.699257 3.62104 0.731172 0 2.60392 0 17.8713 0 17.8889 1.87063
42201.00 1227.34 12.514737 29.363663 -149565.969549 3.812035 14.920569 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7105 0.698904 3.62764 0.730664 0 2.60508 0 17.8692 0 17.8873 1.87068
42101.00 1227.17 12.515039 29.364594 -149608.071922 3.812341 14.921660 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7071 0.698548 3.63427 0.730157 0 2.60625 0 17.8671 0 17.8858 1.87073
42001.00 1226.99 12.515356 29.365558 -149650.348514 3.812651 14.922767 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7038 0.69819 3.64095 0.72965 0 2.60742 0 17.865 0 17.8842 1.87077
41901.00 1226.81 12.515686 29.366554 -149692.801325 3.812965 14.923890 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7004 0.69783 3.64766 0.729143 0 2.60859 0 17.8629 0 17.8827 1.87082
41801.00 1226.63 12.516032 29.367585 -149735.432375 3.813284 14.925030 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.697 0.697467 3.65441 0.728635 0 2.60977 0 17.8608 0 17.8811 1.87086
41701.00 1226.46 12.516391 29.368649 -149778.243719 3.813607 14.926186 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.6935 0.697102 3.66119 0.728127 0 2.61095 0 17.8586 0 17.8796 1.8709
41601.00 1226.28 12.516766 29.369748 -149821.237432 3.813934 14.927360 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.6901 0.696734 3.66802 0.727619 0 2.61214 0 17.8564 0 17.8781 1.87093
41501.00 1226.10 12.517156 29.370881 -149864.415614 3.814266 14.928550 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6866 0.696364 3.67489 0.727111 0 2.61333 0 17.8542 0 17.8765 1.87097
41401.00 1225.92 12.517560 29.372050 -149907.780396 3.814602 14.929757 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.683 0.695992 3.68179 0.726603 0 2.61452 0 17.852 0 17.875 1.871
41301.00 1225.75 12.517980 29.373254 -149951.333932 3.814943 14.930982 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6795 0.695617 3.68873 0.726095 0 2.61572 0 17.8498 0 17.8735 1.87103
41201.00 1225.57 12.518415 29.374493 -149995.078404 3.815289 14.932224 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6759 0.69524 3.69571 0.725587 0 2.61692 0 17.8476 0 17.8719 1.87106
41101.00 1225.39 12.518866 29.375769 -150039.016025 3.815639 14.933484 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6723 0.69486 3.70274 0.725078 0 2.61813 0 17.8453 0 17.8704 1.87109
41001.00 1225.21 12.519333 29.377082 -150083.149033 3.815994 14.934763 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6687 0.694478 3.7098 0.724569 0 2.61934 0 17.8431 0 17.8689 1.87111
40901.00 1225.04 12.519815 29.378431 -150127.479696 3.816354 14.936059 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6651 0.694093 3.7169 0.724061 0 2.62055 0 17.8408 0 17.8674 1.87113
40801.00 1224.86 12.520314 29.379818 -150172.010312 3.816719 14.937374 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6614 0.693706 3.72404 0.723552 0 2.62177 0 17.8385 0 17.8659 1.87115
40701.00 1224.68 12.520829 29.381243 -150216.743207 3.817088 14.938707 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6577 0.693317 3.73123 0.723042 0 2.62299 0 17.8362 0 17.8644 1.87117
40601.00 1224.50 12.521360 29.382706 -150261.680740 3.817463 14.940059 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.654 0.692924 3.73845 0.722533 0 2.62422 0 17.8338 0 17.8629 1.87118
40501.00 1224.33 12.521908 29.384208 -150306.825300 3.817842 14.941430 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6503 0.69253 3.74572 0.722024 0 2.62545 0 17.8315 0 17.8613 1.8712
40401.00 1224.15 12.522473 29.385749 -150352.179306 3.818227 14.942821 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6465 0.692132 3.75303 0.721514 0 2.62668 0 17.8291 0 17.8598 1.87121
