Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1295.50 100.138999 0.000000 59.082275 13.506880 13.858097 12.670154 0.000000 1.021593 
43901.00 1295.31 100.138999 0.000000 59.081636 13.498357 13.865852 12.670843 0.000000 1.022311 
43801.00 1295.12 100.138999 0.000000 59.080992 13.489775 13.873650 12.671547 0.000000 1.023034 
43701.00 1294.94 100.138999 0.000000 59.080342 13.481133 13.881493 12.672267 0.000000 1.023763 
43601.00 1294.75 100.138999 0.000000 59.079688 13.472430 13.889380 12.673003 0.000000 1.024498 
43501.00 1294.56 100.138999 0.000000 59.079029 13.463667 13.897311 12.673755 0.000000 1.025238 
43401.00 1294.37 100.138999 0.000000 59.078364 13.454841 13.905287 12.674523 0.000000 1.025984 
43301.00 1294.18 100.138999 0.000000 59.077694 13.445953 13.913309 12.675307 0.000000 1.026735 
43201.00 1293.99 100.138999 0.000000 59.077018 13.437003 13.921377 12.676108 0.000000 1.027493 
43101.00 1293.80 100.138999 0.000000 59.076337 13.427989 13.929491 12.676926 0.000000 1.028256 
43001.00 1293.61 100.138999 0.000000 59.075651 13.418911 13.937651 12.677760 0.000000 1.029026 
42901.00 1293.42 100.138999 0.000000 59.074959 13.409768 13.945859 12.678612 0.000000 1.029802 
42801.00 1293.23 100.138999 0.000000 59.074261 13.400560 13.954114 12.679480 0.000000 1.030584 
42701.00 1293.04 100.138999 0.000000 59.073557 13.391286 13.962417 12.680366 0.000000 1.031372 
42601.00 1292.85 100.138999 0.000000 59.072848 13.381946 13.970769 12.681270 0.000000 1.032167 
42501.00 1292.66 100.138999 0.000000 59.072132 13.372538 13.979170 12.682191 0.000000 1.032968 
42401.00 1292.47 100.138999 0.000000 59.071410 13.363063 13.987619 12.683130 0.000000 1.033776 
42301.00 1292.28 100.138999 0.000000 59.070683 13.353519 13.996119 12.684088 0.000000 1.034591 
42201.00 1292.10 100.138999 0.000000 59.069949 13.343906 14.004669 12.685064 0.000000 1.035412 
42101.00 1291.91 100.138999 0.000000 59.069209 13.334223 14.013270 12.686058 0.000000 1.036240 
42001.00 1291.72 100.138999 0.000000 59.068462 13.324469 14.021922 12.687071 0.000000 1.037075 
41901.00 1291.53 100.138999 0.000000 59.067709 13.314645 14.030625 12.688103 0.000000 1.037918 
41801.00 1291.34 100.138999 0.000000 59.066949 13.304748 14.039381 12.689154 0.000000 1.038767 
41701.00 1291.15 100.138999 0.000000 59.066183 13.294779 14.048189 12.690224 0.000000 1.039624 
41601.00 1290.96 100.138999 0.000000 59.065410 13.284736 14.057051 12.691314 0.000000 1.040488 
41501.00 1290.77 100.138999 0.000000 59.064629 13.274620 14.065967 12.692423 0.000000 1.041360 
41401.00 1290.58 100.138999 0.000000 59.063842 13.264428 14.074936 12.693553 0.000000 1.042239 
41301.00 1290.39 100.138999 0.000000 59.063048 13.254161 14.083961 12.694702 0.000000 1.043126 
41201.00 1290.20 100.138999 0.000000 59.062247 13.243818 14.093041 12.695872 0.000000 1.044021 
41101.00 1290.01 100.138999 0.000000 59.061438 13.233397 14.102177 12.697063 0.000000 1.044924 
41001.00 1289.82 100.138999 0.000000 59.060622 13.222899 14.111369 12.698275 0.000000 1.045835 
40901.00 1289.63 100.138999 0.000000 59.059798 13.212322 14.120618 12.699507 0.000000 1.046754 
40801.00 1289.44 100.138999 0.000000 59.058967 13.201665 14.129925 12.700761 0.000000 1.047681 
40701.00 1289.25 100.138999 0.000000 59.058128 13.190928 14.139290 12.702036 0.000000 1.048617 
40601.00 1289.06 100.138999 0.000000 59.057281 13.180110 14.148714 12.703333 0.000000 1.049562 
40501.00 1288.87 100.138999 0.000000 59.056426 13.169209 14.158197 12.704652 0.000000 1.050515 
40401.00 1288.68 100.138999 0.000000 59.055563 13.158226 14.167740 12.705994 0.000000 1.051477 
40301.00 1288.49 100.138999 0.000000 59.054691 13.147159 14.177343 12.707357 0.000000 1.052448 
40201.00 1288.30 100.138999 0.000000 59.053811 13.136008 14.187008 12.708744 0.000000 1.053428 
