Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1554.26 100.138999 0.0089636882059339 0.009032 264.708153 -1131314.558273 30.447608 126.267666 -20.415472 1514.533605 -6.144 -6.144 3.264006 3.289122 -0.573 0 0.000
43901.00 1554.03 100.138999 0.0089252281263270 0.008996 264.708153 -1131619.044722 30.449682 126.274019 -20.421734 1514.522426 -6.152 -6.152 3.262749 3.288907 -0.572 0 0.000
43801.00 1553.81 100.138999 0.0088875014645975 0.008961 264.708153 -1131923.551923 30.451759 126.280399 -20.428036 1514.510954 -6.159 -6.159 3.261493 3.288691 -0.570 0 0.000
43701.00 1553.59 100.138999 0.0088505085349707 0.008926 264.708153 -1132228.079904 30.453838 126.286806 -20.434379 1514.499199 -6.167 -6.167 3.260236 3.288475 -0.569 0 0.000
43601.00 1553.37 100.138999 0.0088142497396272 0.008893 264.708153 -1132532.628694 30.455920 126.293240 -20.440761 1514.487171 -6.174 -6.174 3.258979 3.288258 -0.567 0 0.000
43501.00 1553.14 100.138999 0.0087787255754616 0.008860 264.708153 -1132837.198320 30.458005 126.299702 -20.447184 1514.474879 -6.181 -6.181 3.257722 3.288041 -0.565 0 0.000
43401.00 1552.92 100.138999 0.0087439366295130 0.008827 264.708153 -1133141.788812 30.460094 126.306190 -20.453648 1514.462332 -6.189 -6.189 3.256465 3.287824 -0.564 0 0.000
43301.00 1552.69 100.138999 0.0087098835838439 0.008796 264.708153 -1133446.400200 30.462185 126.312706 -20.460153 1514.449540 -6.196 -6.196 3.255208 3.287607 -0.562 0 0.000
43201.00 1552.47 100.138999 0.0086765672119746 0.008765 264.708153 -1133751.032514 30.464279 126.319250 -20.466700 1514.436512 -6.203 -6.203 3.253951 3.287389 -0.561 0 0.000
43101.00 1552.24 100.138999 0.0086439883947356 0.008735 264.708153 -1134055.685783 30.466376 126.325821 -20.473289 1514.423259 -6.210 -6.210 3.252694 3.287171 -0.559 0 0.000
43001.00 1552.02 100.138999 0.0086121480917369 0.008705 264.708153 -1134360.360039 30.468476 126.332419 -20.479920 1514.409790 -6.217 -6.217 3.251437 3.286952 -0.557 0 0.000
42901.00 1551.79 100.138999 0.0085810473694673 0.008677 264.708153 -1134665.055313 30.470579 126.339045 -20.486593 1514.396114 -6.224 -6.224 3.250180 3.286733 -0.556 0 0.000
42801.00 1551.56 100.138999 0.0085506873911667 0.008649 264.708153 -1134969.771637 30.472686 126.345698 -20.493309 1514.382243 -6.231 -6.231 3.248923 3.286514 -0.554 0 0.000
42701.00 1551.34 100.138999 0.0085210694182967 0.008622 264.708153 -1135274.509043 30.474796 126.352379 -20.500068 1514.368186 -6.238 -6.238 3.247667 3.286294 -0.552 0 0.000
42601.00 1551.11 100.138999 0.0084921948118308 0.008595 264.708153 -1135579.267562 30.476909 126.359088 -20.506871 1514.353952 -6.245 -6.245 3.246410 3.286074 -0.550 0 0.000
42501.00 1550.88 100.138999 0.0084640650303569 0.008569 264.708153 -1135884.047230 30.479025 126.365825 -20.513718 1514.339554 -6.252 -6.252 3.245153 3.285854 -0.549 0 0.000
42401.00 1550.65 100.138999 0.0084366816471404 0.008544 264.708153 -1136188.848078 30.481145 126.372589 -20.520609 1514.325000 -6.259 -6.259 3.243897 3.285633 -0.547 0 0.000
42301.00 1550.42 100.138999 0.0084100463174248 0.008520 264.708153 -1136493.670141 30.483268 126.379382 -20.527545 1514.310301 -6.266 -6.266 3.242640 3.285412 -0.545 0 0.000
42201.00 1550.19 100.138999 0.0083841608159712 0.008497 264.708153 -1136798.513453 30.485395 126.386203 -20.534526 1514.295468 -6.272 -6.272 3.241384 3.285191 -0.544 0 0.000
42101.00 1549.96 100.138999 0.0083590270116439 0.008474 264.708153 -1137103.378050 30.487525 126.393052 -20.541552 1514.280512 -6.279 -6.279 3.240127 3.284969 -0.542 0 0.000
42001.00 1549.73 100.138999 0.0083346468940054 0.008452 264.708153 -1137408.263967 30.489659 126.399929 -20.548624 1514.265443 -6.286 -6.286 3.238871 3.284747 -0.540 0 0.000
41901.00 1549.50 100.138999 0.0083110225396392 0.008430 264.708153 -1137713.171239 30.491796 126.406835 -20.555743 1514.250272 -6.292 -6.292 3.237615 3.284525 -0.538 0 0.000
41801.00 1549.27 100.138999 0.0082881561466783 0.008410 264.708153 -1138018.099903 30.493937 126.413769 -20.562908 1514.235010 -6.299 -6.299 3.236359 3.284302 -0.536 0 0.000
41701.00 1549.03 100.138999 0.0082660500179506 0.008390 264.708153 -1138323.049997 30.496082 126.420732 -20.570120 1514.219668 -6.305 -6.305 3.235103 3.284079 -0.535 0 0.000
41601.00 1548.80 100.138999 0.0082447065675234 0.008371 264.708153 -1138628.021557 30.498231 126.427724 -20.577380 1514.204259 -6.312 -6.312 3.233847 3.283855 -0.533 0 0.000
41501.00 1548.57 100.138999 0.0082241283177835 0.008353 264.708153 -1138933.014622 30.500383 126.434745 -20.584688 1514.188792 -6.318 -6.318 3.232592 3.283631 -0.531 0 0.000
41401.00 1548.33 100.138999 0.0082043179081202 0.008335 264.708153 -1139238.029230 30.502539 126.441794 -20.592044 1514.173280 -6.325 -6.325 3.231337 3.283407 -0.529 0 0.000
41301.00 1548.10 100.138999 0.0081852780887153 0.008319 264.708153 -1139543.065420 30.504699 126.448874 -20.599450 1514.157734 -6.331 -6.331 3.230082 3.283182 -0.527 0 0.000
