Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1306.35 100.138999 0.000000 59.083953 13.461884 13.862069 12.705985 0.000000 1.025109 
43901.00 1306.16 100.138999 0.000000 59.083290 13.453156 13.869904 12.706801 0.000000 1.025848 
43801.00 1305.97 100.138999 0.000000 59.082622 13.444367 13.877783 12.707634 0.000000 1.026593 
43701.00 1305.78 100.138999 0.000000 59.081948 13.435516 13.885707 12.708484 0.000000 1.027343 
43601.00 1305.58 100.138999 0.000000 59.081270 13.426603 13.893676 12.709350 0.000000 1.028100 
43501.00 1305.39 100.138999 0.000000 59.080585 13.417628 13.901690 12.710233 0.000000 1.028862 
43401.00 1305.20 100.138999 0.000000 59.079896 13.408589 13.909750 12.711134 0.000000 1.029630 
43301.00 1305.01 100.138999 0.000000 59.079201 13.399487 13.917856 12.712051 0.000000 1.030405 
43201.00 1304.82 100.138999 0.000000 59.078500 13.390320 13.926009 12.712985 0.000000 1.031185 
43101.00 1304.63 100.138999 0.000000 59.077793 13.381087 13.934209 12.713938 0.000000 1.031972 
43001.00 1304.44 100.138999 0.000000 59.077081 13.371790 13.942456 12.714907 0.000000 1.032766 
42901.00 1304.25 100.138999 0.000000 59.076362 13.362425 13.950751 12.715895 0.000000 1.033565 
42801.00 1304.05 100.138999 0.000000 59.075638 13.352994 13.959095 12.716901 0.000000 1.034371 
42701.00 1303.86 100.138999 0.000000 59.074907 13.343495 13.967487 12.717925 0.000000 1.035184 
42601.00 1303.67 100.138999 0.000000 59.074171 13.333928 13.975929 12.718968 0.000000 1.036004 
42501.00 1303.48 100.138999 0.000000 59.073428 13.324292 13.984420 12.720029 0.000000 1.036830 
42401.00 1303.29 100.138999 0.000000 59.072679 13.314587 13.992962 12.721109 0.000000 1.037663 
42301.00 1303.10 100.138999 0.000000 59.071923 13.304811 14.001554 12.722208 0.000000 1.038503 
42201.00 1302.90 100.138999 0.000000 59.071161 13.294964 14.010198 12.723326 0.000000 1.039350 
42101.00 1302.71 100.138999 0.000000 59.070392 13.285045 14.018893 12.724464 0.000000 1.040205 
42001.00 1302.52 100.138999 0.000000 59.069617 13.275054 14.027640 12.725622 0.000000 1.041067 
41901.00 1302.33 100.138999 0.000000 59.068834 13.264990 14.036440 12.726799 0.000000 1.041936 
41801.00 1302.14 100.138999 0.000000 59.068045 13.254852 14.045293 12.727997 0.000000 1.042813 
41701.00 1301.95 100.138999 0.000000 59.067249 13.244639 14.054200 12.729214 0.000000 1.043697 
41601.00 1301.75 100.138999 0.000000 59.066446 13.234351 14.063161 12.730452 0.000000 1.044589 
41501.00 1301.56 100.138999 0.000000 59.065635 13.223988 14.072176 12.731711 0.000000 1.045489 
41401.00 1301.37 100.138999 0.000000 59.064817 13.213547 14.081247 12.732991 0.000000 1.046397 
41301.00 1301.18 100.138999 0.000000 59.063992 13.203028 14.090374 12.734292 0.000000 1.047313 
41201.00 1300.99 100.138999 0.000000 59.063159 13.192431 14.099557 12.735615 0.000000 1.048237 
41101.00 1300.80 100.138999 0.000000 59.062318 13.181755 14.108797 12.736959 0.000000 1.049169 
41001.00 1300.60 100.138999 0.000000 59.061470 13.170999 14.118095 12.738325 0.000000 1.050110 
40901.00 1300.41 100.138999 0.000000 59.060613 13.160162 14.127450 12.739713 0.000000 1.051060 
40801.00 1300.22 100.138999 0.000000 59.059749 13.149243 14.136865 12.741124 0.000000 1.052018 
40701.00 1300.03 100.138999 0.000000 59.058877 13.138242 14.146338 12.742557 0.000000 1.052985 
40601.00 1299.84 100.138999 0.000000 59.057996 13.127157 14.155872 12.744013 0.000000 1.053961 
40501.00 1299.64 100.138999 0.000000 59.057107 13.115988 14.165466 12.745492 0.000000 1.054947 
40401.00 1299.45 100.138999 0.000000 59.056209 13.104734 14.175121 12.746994 0.000000 1.055941 
40301.00 1299.26 100.138999 0.000000 59.055302 13.093394 14.184838 12.748520 0.000000 1.056945 
40201.00 1299.07 100.138999 0.000000 59.054387 13.081967 14.194617 12.750070 0.000000 1.057958 
