Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1214.32 100.138999 0.0000000000000000 0.000000 238.191922 -1175187.985737 29.902560 123.363864 -19.847187 1358.677285 -7.298 -7.298 0.000000 3.348844 0.000 0 0.000
43901.00 1214.15 100.138999 0.0000000000000000 0.000000 238.191922 -1175487.020887 29.904470 123.369513 -19.854060 1358.614989 -7.302 -7.302 0.000000 3.348630 0.000 0 0.000
43801.00 1213.98 100.138999 0.0000000000000000 0.000000 238.191922 -1175786.075140 29.906381 123.375162 -19.860936 1358.552804 -7.307 -7.307 0.000000 3.348416 0.000 0 0.000
43701.00 1213.80 100.138999 0.0000000000000000 0.000000 238.191922 -1176085.148515 29.908294 123.380811 -19.867816 1358.490730 -7.312 -7.312 0.000000 3.348202 0.000 0 0.000
43601.00 1213.63 100.138999 0.0000000000000000 0.000000 238.191922 -1176384.241028 29.910209 123.386459 -19.874700 1358.428768 -7.316 -7.316 0.000000 3.347987 0.000 0 0.000
43501.00 1213.45 100.138999 0.0000000000000000 0.000000 238.191922 -1176683.352698 29.912125 123.392107 -19.881587 1358.366918 -7.321 -7.321 0.000000 3.347773 0.000 0 0.000
43401.00 1213.28 100.138999 0.0000000000000000 0.000000 238.191922 -1176982.483543 29.914044 123.397755 -19.888479 1358.305183 -7.325 -7.325 0.000000 3.347558 0.000 0 0.000
43301.00 1213.10 100.138999 0.0000000000000000 0.000000 238.191922 -1177281.633580 29.915964 123.403402 -19.895374 1358.243562 -7.330 -7.330 0.000000 3.347343 0.000 0 0.000
43201.00 1212.93 100.138999 0.0000000000000000 0.000000 238.191922 -1177580.802829 29.917886 123.409049 -19.902272 1358.182056 -7.335 -7.335 0.000000 3.347128 0.000 0 0.000
43101.00 1212.75 100.138999 0.0000000000000000 0.000000 238.191922 -1177879.991306 29.919810 123.414696 -19.909175 1358.120666 -7.339 -7.339 0.000000 3.346913 0.000 0 0.000
43001.00 1212.58 100.138999 0.0000000000000000 0.000000 238.191922 -1178179.199031 29.921735 123.420343 -19.916081 1358.059394 -7.344 -7.344 0.000000 3.346698 0.000 0 0.000
42901.00 1212.41 100.138999 0.0000000000000000 0.000000 238.191922 -1178478.426022 29.923663 123.425989 -19.922992 1357.998240 -7.349 -7.349 0.000000 3.346482 0.000 0 0.000
42801.00 1212.23 100.138999 0.0000000000000000 0.000000 238.191922 -1178777.672298 29.925592 123.431635 -19.929906 1357.937205 -7.353 -7.353 0.000000 3.346266 0.000 0 0.000
42701.00 1212.06 100.138999 0.0000000000000000 0.000000 238.191922 -1179076.937877 29.927524 123.437281 -19.936824 1357.876291 -7.358 -7.358 0.000000 3.346050 0.000 0 0.000
42601.00 1211.88 100.138999 0.0000000000000000 0.000000 238.191922 -1179376.222778 29.929457 123.442926 -19.943747 1357.815497 -7.363 -7.363 0.000000 3.345834 0.000 0 0.000
42501.00 1211.71 100.138999 0.0000000000000000 0.000000 238.191922 -1179675.527020 29.931392 123.448572 -19.950673 1357.754825 -7.367 -7.367 0.000000 3.345618 0.000 0 0.000
42401.00 1211.53 100.138999 0.0000000000000000 0.000000 238.191922 -1179974.850621 29.933329 123.454217 -19.957603 1357.694276 -7.372 -7.372 0.000000 3.345401 0.000 0 0.000
42301.00 1211.36 100.138999 0.0000000000000000 0.000000 238.191922 -1180274.193602 29.935268 123.459862 -19.964538 1357.633851 -7.377 -7.377 0.000000 3.345185 0.000 0 0.000
42201.00 1211.18 100.138999 0.0000000000000000 0.000000 238.191922 -1180573.555981 29.937208 123.465507 -19.971476 1357.573551 -7.381 -7.381 0.000000 3.344968 0.000 0 0.000
42101.00 1211.01 100.138999 0.0000000000000000 0.000000 238.191922 -1180872.937778 29.939151 123.471152 -19.978419 1357.513377 -7.386 -7.386 0.000000 3.344751 0.000 0 0.000
42001.00 1210.84 100.138999 0.0000000000000000 0.000000 238.191922 -1181172.339012 29.941096 123.476797 -19.985366 1357.453330 -7.391 -7.391 0.000000 3.344534 0.000 0 0.000
41901.00 1210.66 100.138999 0.0000000000000000 0.000000 238.191922 -1181471.759702 29.943043 123.482441 -19.992317 1357.393411 -7.396 -7.396 0.000000 3.344316 0.000 0 0.000
41801.00 1210.49 100.138999 0.0000000000000000 0.000000 238.191922 -1181771.199869 29.944991 123.488086 -19.999273 1357.333621 -7.401 -7.401 0.000000 3.344098 0.000 0 0.000
41701.00 1210.31 100.138999 0.0000000000000000 0.000000 238.191922 -1182070.659532 29.946942 123.493730 -20.006233 1357.273962 -7.405 -7.405 0.000000 3.343881 0.000 0 0.000
41601.00 1210.14 100.138999 0.0000000000000000 0.000000 238.191922 -1182370.138711 29.948894 123.499374 -20.013197 1357.214433 -7.410 -7.410 0.000000 3.343663 0.000 0 0.000
41501.00 1209.96 100.138999 0.0000000000000000 0.000000 238.191922 -1182669.637426 29.950849 123.505019 -20.020166 1357.155037 -7.415 -7.415 0.000000 3.343444 0.000 0 0.000
41401.00 1209.79 100.138999 0.0000000000000000 0.000000 238.191922 -1182969.155697 29.952806 123.510663 -20.027139 1357.095775 -7.420 -7.420 0.000000 3.343226 0.000 0 0.000
41301.00 1209.61 100.138999 0.0000000000000000 0.000000 238.191922 -1183268.693545 29.954764 123.516307 -20.034117 1357.036646 -7.425 -7.425 0.000000 3.343007 0.000 0 0.000
41201.00 1209.44 100.138999 0.0000000000000000 0.000000 238.191922 -1183568.250990 29.956725 123.521951 -20.041099 1356.977654 -7.430 -7.430 0.000000 3.342789 0.000 0 0.000
41101.00 1209.26 100.138999 0.0000000000000000 0.000000 238.191922 -1183867.828053 29.958688 123.527596 -20.048086 1356.918799 -7.435 -7.435 0.000000 3.342570 0.000 0 0.000
41001.00 1209.09 100.138999 0.0000000000000000 0.000000 238.191922 -1184167.424754 29.960653 123.533240 -20.055077 1356.860081 -7.439 -7.439 0.000000 3.342350 0.000 0 0.000
40901.00 1208.91 100.138999 0.0000000000000000 0.000000 238.191922 -1184467.041114 29.962620 123.538884 -20.062073 1356.801503 -7.444 -7.444 0.000000 3.342131 0.000 0 0.000
40801.00 1208.74 100.138999 0.0000000000000000 0.000000 238.191922 -1184766.677154 29.964589 123.544528 -20.069074 1356.743066 -7.449 -7.449 0.000000 3.341911 0.000 0 0.000
40701.00 1208.56 100.138999 0.0000000000000000 0.000000 238.191922 -1185066.332895 29.966560 123.550173 -20.076080 1356.684770 -7.454 -7.454 0.000000 3.341692 0.000 0 0.000
40601.00 1208.39 100.138999 0.0000000000000000 0.000000 238.191922 -1185366.008358 29.968533 123.555817 -20.083090 1356.626617 -7.459 -7.459 0.000000 3.341471 0.000 0 0.000
40501.00 1208.22 100.138999 0.0000000000000000 0.000000 238.191922 -1185665.703565 29.970509 123.561462 -20.090105 1356.568608 -7.464 -7.464 0.000000 3.341251 0.000 0 0.000
40401.00 1208.04 100.138999 0.0000000000000000 0.000000 238.191922 -1185965.418538 29.972486 123.567107 -20.097125 1356.510744 -7.469 -7.469 0.000000 3.341031 0.000 0 0.000
