Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
11201.00 1244.45 0.040104 0.112797 -493.503037 0.015106 0.060940 2.570 53.6202 0.592561 19.0825 0.0779445 0.297196 3.77548 0.0132022 7.35666 0.00710057 4.01843 11.1587
11101.00 1244.12 0.080987 0.227672 -997.333990 0.030514 0.123069 2.582 53.6816 0.591524 19.0925 0.0791284 0.292157 3.76954 0.013017 7.3584 0.00699812 4.07196 11.0432
11001.00 1243.79 0.122539 0.344306 -1510.140558 0.046182 0.186216 2.594 53.7423 0.590535 19.1021 0.0803447 0.287166 3.76382 0.0128333 7.36045 0.00689653 4.12642 10.9271
10901.00 1243.46 0.164786 0.462771 -2032.273644 0.062121 0.250425 2.606 53.8023 0.589594 19.1114 0.0815946 0.282221 3.7583 0.012651 7.36281 0.0067958 4.18183 10.8104
10801.00 1243.12 0.207756 0.583144 -2564.102710 0.078340 0.315738 2.618 53.8616 0.588703 19.1204 0.0828795 0.277324 3.753 0.0124702 7.36548 0.00669591 4.23822 10.6932
10701.00 1242.79 0.251481 0.705504 -3106.016990 0.094852 0.382202 2.629 53.9202 0.587862 19.129 0.0842007 0.272475 3.74793 0.0122908 7.36847 0.00659687 4.2956 10.5754
10601.00 1242.45 0.295993 0.829936 -3658.426745 0.111669 0.449866 2.641 53.978 0.587071 19.1372 0.0855597 0.267672 3.74307 0.0121129 7.37178 0.00649868 4.35399 10.457
10501.00 1242.11 0.341323 0.956527 -4221.764623 0.128802 0.518781 2.653 54.035 0.586331 19.1451 0.0869579 0.262917 3.73844 0.0119364 7.37541 0.00640134 4.41341 10.3381
10401.00 1241.76 0.387509 1.085371 -4796.487112 0.146266 0.589001 2.665 54.0912 0.585644 19.1526 0.0883969 0.25821 3.73404 0.0117614 7.37937 0.00630483 4.47389 10.2186
10301.00 1241.42 0.434588 1.216568 -5383.076108 0.164075 0.660583 2.676 54.1466 0.585008 19.1597 0.0898784 0.25355 3.72987 0.0115878 7.38366 0.00620917 4.53545 10.0985
10201.00 1241.07 0.482599 1.350221 -5982.040583 0.182243 0.733588 2.687 54.2011 0.584426 19.1665 0.091404 0.248938 3.72595 0.0114157 7.38829 0.00611434 4.59811 9.97778
10101.00 1240.73 0.531584 1.486440 -6593.918381 0.200785 0.808080 2.699 54.2548 0.583897 19.1728 0.0929756 0.244373 3.72226 0.011245 7.39325 0.00602034 4.66189 9.85652
10001.00 1240.37 0.581587 1.625342 -7219.278141 0.219720 0.884126 2.710 54.3075 0.583423 19.1788 0.0945951 0.239857 3.71882 0.0110757 7.39855 0.00592718 4.72681 9.73467
9901.00 1240.02 0.632654 1.767049 -7858.721360 0.239063 0.961799 2.721 54.3593 0.583004 19.1843 0.0962643 0.235388 3.71562 0.0109079 7.40419 0.00583484 4.79291 9.61225
9801.00 1239.66 0.684836 1.911693 -8512.884603 0.258835 1.041172 2.732 54.4102 0.58264 19.1895 0.0979854 0.230968 3.71268 0.0107414 7.41018 0.00574333 4.86019 9.48924
9701.00 1239.30 0.738185 2.059411 -9182.441871 0.279054 1.122327 2.743 54.4601 0.582333 19.1942 0.0997604 0.226596 3.70999 0.0105764 7.41651 0.00565264 4.92868 9.36565
9601.00 1238.94 0.792756 2.210348 -9868.107146 0.299741 1.205349 2.754 54.5089 0.582083 19.1985 0.101592 0.222272 3.70757 0.0104128 7.42319 0.00556277 4.99841 9.24149
9501.00 1238.58 0.848608 2.364659 -10570.637091 0.320918 1.290327 2.765 54.5568 0.58189 19.2023 0.103482 0.217997 3.7054 0.0102507 7.43021 0.00547372 5.0694 9.11675
9401.00 1238.21 0.905803 2.522508 -11290.833991 0.342609 1.377357 2.775 54.6036 0.581756 19.2058 0.105433 0.213771 3.7035 0.0100899 7.43758 0.00538548 5.14167 8.99143
9301.00 1237.84 0.964408 2.684070 -12029.548836 0.364838 1.466539 2.786 54.6493 0.581681 19.2088 0.107447 0.209594 3.70186 0.00993056 7.4453 0.00529805 5.21524 8.86555
9201.00 1237.46 1.024492 2.849527 -12787.684667 0.387632 1.557982 2.796 54.694 0.581665 19.2113 0.109528 0.205466 3.70049 0.00977261 7.45336 0.00521142 5.29014 8.73911
9101.00 1237.08 1.062452 2.953260 -13270.459656 0.402059 1.615790 2.807 54.7374 0.581711 19.2134 0.111678 0.201382 3.69943 0.00961607 7.46181 0.00512562 5.36644 8.61203
9001.00 1236.70 1.062530 2.951606 -13280.334119 0.402149 1.615992 2.817 54.7796 0.581825 19.215 0.1139 0.197332 3.69872 0.00946097 7.4707 0.00504064 5.44427 8.48418
8901.00 1236.32 1.062628 2.949984 -13290.404083 0.402242 1.616227 2.827 54.8204 0.582007 19.2162 0.116198 0.193316 3.69837 0.0093073 7.48006 0.0049565 5.52366 8.35555
8801.00 1235.94 1.062748 2.948398 -13300.683038 0.402341 1.616497 2.836 54.8599 0.58226 19.2169 0.118574 0.189334 3.69839 0.00915505 7.48988 0.00487319 5.60465 8.22613
8701.00 1235.55 1.062889 2.946850 -13311.185489 0.402443 1.616804 2.846 54.8979 0.582585 19.2171 0.121033 0.185386 3.69879 0.00900422 7.50016 0.00479069 5.68729 8.09593
