Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1300.93 100.138999 0.0000000000000000 0.000000 245.312425 -1164290.628769 30.032202 124.115094 -19.870666 1398.963847 -6.612 -6.612 0.000000 3.334388 0.000 0 0.000
43901.00 1300.74 100.138999 0.0000000000000000 0.000000 245.312425 -1164590.960382 30.034121 124.121248 -19.877632 1398.898402 -6.617 -6.617 0.000000 3.334174 0.000 0 0.000
43801.00 1300.55 100.138999 0.0000000000000000 0.000000 245.312425 -1164891.311200 30.036043 124.127403 -19.884601 1398.833091 -6.622 -6.622 0.000000 3.333961 0.000 0 0.000
43701.00 1300.36 100.138999 0.0000000000000000 0.000000 245.312425 -1165191.681244 30.037966 124.133557 -19.891575 1398.767914 -6.626 -6.626 0.000000 3.333748 0.000 0 0.000
43601.00 1300.16 100.138999 0.0000000000000000 0.000000 245.312425 -1165492.070533 30.039892 124.139711 -19.898554 1398.702874 -6.631 -6.631 0.000000 3.333534 0.000 0 0.000
43501.00 1299.97 100.138999 0.0000000000000000 0.000000 245.312425 -1165792.479089 30.041820 124.145865 -19.905537 1398.637970 -6.636 -6.636 0.000000 3.333320 0.000 0 0.000
43401.00 1299.78 100.138999 0.0000000000000000 0.000000 245.312425 -1166092.906932 30.043749 124.152019 -19.912524 1398.573205 -6.640 -6.640 0.000000 3.333106 0.000 0 0.000
43301.00 1299.59 100.138999 0.0000000000000000 0.000000 245.312425 -1166393.354083 30.045681 124.158173 -19.919516 1398.508579 -6.645 -6.645 0.000000 3.332892 0.000 0 0.000
43201.00 1299.40 100.138999 0.0000000000000000 0.000000 245.312425 -1166693.820562 30.047615 124.164328 -19.926512 1398.444093 -6.650 -6.650 0.000000 3.332677 0.000 0 0.000
43101.00 1299.21 100.138999 0.0000000000000000 0.000000 245.312425 -1166994.306390 30.049551 124.170482 -19.933513 1398.379749 -6.654 -6.654 0.000000 3.332462 0.000 0 0.000
43001.00 1299.02 100.138999 0.0000000000000000 0.000000 245.312425 -1167294.811589 30.051489 124.176637 -19.940519 1398.315548 -6.659 -6.659 0.000000 3.332247 0.000 0 0.000
42901.00 1298.83 100.138999 0.0000000000000000 0.000000 245.312425 -1167595.336180 30.053429 124.182791 -19.947529 1398.251490 -6.664 -6.664 0.000000 3.332032 0.000 0 0.000
42801.00 1298.64 100.138999 0.0000000000000000 0.000000 245.312425 -1167895.880184 30.055372 124.188946 -19.954544 1398.187578 -6.669 -6.669 0.000000 3.331817 0.000 0 0.000
42701.00 1298.45 100.138999 0.0000000000000000 0.000000 245.312425 -1168196.443623 30.057316 124.195101 -19.961564 1398.123812 -6.674 -6.674 0.000000 3.331601 0.000 0 0.000
42601.00 1298.26 100.138999 0.0000000000000000 0.000000 245.312425 -1168497.026519 30.059263 124.201256 -19.968588 1398.060193 -6.678 -6.678 0.000000 3.331386 0.000 0 0.000
42501.00 1298.07 100.138999 0.0000000000000000 0.000000 245.312425 -1168797.628892 30.061212 124.207412 -19.975618 1397.996724 -6.683 -6.683 0.000000 3.331170 0.000 0 0.000
42401.00 1297.88 100.138999 0.0000000000000000 0.000000 245.312425 -1169098.250766 30.063163 124.213567 -19.982652 1397.933404 -6.688 -6.688 0.000000 3.330954 0.000 0 0.000
42301.00 1297.69 100.138999 0.0000000000000000 0.000000 245.312425 -1169398.892161 30.065116 124.219723 -19.989691 1397.870236 -6.693 -6.693 0.000000 3.330737 0.000 0 0.000
42201.00 1297.50 100.138999 0.0000000000000000 0.000000 245.312425 -1169699.553101 30.067072 124.225879 -19.996736 1397.807220 -6.698 -6.698 0.000000 3.330520 0.000 0 0.000
42101.00 1297.31 100.138999 0.0000000000000000 0.000000 245.312425 -1170000.233608 30.069030 124.232036 -20.003785 1397.744358 -6.702 -6.702 0.000000 3.330304 0.000 0 0.000
42001.00 1297.12 100.138999 0.0000000000000000 0.000000 245.312425 -1170300.933704 30.070990 124.238192 -20.010839 1397.681652 -6.707 -6.707 0.000000 3.330087 0.000 0 0.000
41901.00 1296.93 100.138999 0.0000000000000000 0.000000 245.312425 -1170601.653411 30.072952 124.244349 -20.017898 1397.619102 -6.712 -6.712 0.000000 3.329869 0.000 0 0.000
41801.00 1296.74 100.138999 0.0000000000000000 0.000000 245.312425 -1170902.392754 30.074917 124.250507 -20.024963 1397.556710 -6.717 -6.717 0.000000 3.329652 0.000 0 0.000
41701.00 1296.55 100.138999 0.0000000000000000 0.000000 245.312425 -1171203.151754 30.076884 124.256664 -20.032033 1397.494478 -6.722 -6.722 0.000000 3.329434 0.000 0 0.000
41601.00 1296.36 100.138999 0.0000000000000000 0.000000 245.312425 -1171503.930434 30.078853 124.262823 -20.039108 1397.432406 -6.727 -6.727 0.000000 3.329216 0.000 0 0.000
41501.00 1296.16 100.138999 0.0000000000000000 0.000000 245.312425 -1171804.728819 30.080824 124.268981 -20.046188 1397.370497 -6.732 -6.732 0.000000 3.328998 0.000 0 0.000
41401.00 1295.97 100.138999 0.0000000000000000 0.000000 245.312425 -1172105.546931 30.082798 124.275140 -20.053274 1397.308751 -6.737 -6.737 0.000000 3.328779 0.000 0 0.000
41301.00 1295.78 100.138999 0.0000000000000000 0.000000 245.312425 -1172406.384794 30.084775 124.281299 -20.060365 1397.247171 -6.742 -6.742 0.000000 3.328561 0.000 0 0.000
41201.00 1295.59 100.138999 0.0000000000000000 0.000000 245.312425 -1172707.242431 30.086753 124.287459 -20.067461 1397.185757 -6.747 -6.747 0.000000 3.328342 0.000 0 0.000
41101.00 1295.40 100.138999 0.0000000000000000 0.000000 245.312425 -1173008.119868 30.088734 124.293620 -20.074563 1397.124511 -6.752 -6.752 0.000000 3.328123 0.000 0 0.000
41001.00 1295.21 100.138999 0.0000000000000000 0.000000 245.312425 -1173309.017127 30.090718 124.299781 -20.081671 1397.063435 -6.757 -6.757 0.000000 3.327903 0.000 0 0.000
40901.00 1295.02 100.138999 0.0000000000000000 0.000000 245.312425 -1173609.934233 30.092704 124.305942 -20.088784 1397.002530 -6.762 -6.762 0.000000 3.327684 0.000 0 0.000
40801.00 1294.83 100.138999 0.0000000000000000 0.000000 245.312425 -1173910.871211 30.094692 124.312104 -20.095903 1396.941798 -6.767 -6.767 0.000000 3.327464 0.000 0 0.000
40701.00 1294.64 100.138999 0.0000000000000000 0.000000 245.312425 -1174211.828084 30.096683 124.318267 -20.103028 1396.881240 -6.772 -6.772 0.000000 3.327244 0.000 0 0.000
40601.00 1294.45 100.138999 0.0000000000000000 0.000000 245.312425 -1174512.804879 30.098676 124.324430 -20.110158 1396.820858 -6.777 -6.777 0.000000 3.327023 0.000 0 0.000
40501.00 1294.26 100.138999 0.0000000000000000 0.000000 245.312425 -1174813.801619 30.100672 124.330594 -20.117295 1396.760654 -6.782 -6.782 0.000000 3.326803 0.000 0 0.000
40401.00 1294.06 100.138999 0.0000000000000000 0.000000 245.312425 -1175114.818330 30.102671 124.336758 -20.124437 1396.700629 -6.787 -6.787 0.000000 3.326582 0.000 0 0.000
40301.00 1293.87 100.138999 0.0000000000000000 0.000000 245.312425 -1175415.855038 30.104671 124.342924 -20.131585 1396.640785 -6.792 -6.792 0.000000 3.326361 0.000 0 0.000
40201.00 1293.68 100.138999 0.0000000000000000 0.000000 245.312425 -1175716.911767 30.106675 124.349090 -20.138739 1396.581124 -6.797 -6.797 0.000000 3.326139 0.000 0 0.000
40101.00 1293.49 100.138999 0.0000000000000000 0.000000 245.312425 -1176017.988544 30.108681 124.355256 -20.145899 1396.521647 -6.803 -6.803 0.000000 3.325918 0.000 0 0.000
40001.00 1293.30 100.138999 0.0000000000000000 0.000000 245.312425 -1176319.085394 30.110690 124.361424 -20.153066 1396.462356 -6.808 -6.808 0.000000 3.325696 0.000 0 0.000
39901.00 1293.11 100.138999 0.0000000000000000 0.000000 245.312425 -1176620.202344 30.112701 124.367592 -20.160238 1396.403254 -6.813 -6.813 0.000000 3.325474 0.000 0 0.000
39801.00 1292.92 100.138999 0.0000000000000000 0.000000 245.312425 -1176921.339419 30.114715 124.373761 -20.167417 1396.344341 -6.818 -6.818 0.000000 3.325251 0.000 0 0.000
39701.00 1292.73 100.138999 0.0000000000000000 0.000000 245.312425 -1177222.496647 30.116731 124.379932 -20.174602 1396.285619 -6.823 -6.823 0.000000 3.325029 0.000 0 0.000
39601.00 1292.53 100.138999 0.0000000000000000 0.000000 245.312425 -1177523.674054 30.118751 124.386102 -20.181794 1396.227092 -6.829 -6.829 0.000000 3.324806 0.000 0 0.000
39501.00 1292.34 100.138999 0.0000000000000000 0.000000 245.312425 -1177824.871667 30.120773 124.392274 -20.188991 1396.168759 -6.834 -6.834 0.000000 3.324583 0.000 0 0.000
39401.00 1292.15 100.138999 0.0000000000000000 0.000000 245.312425 -1178126.089513 30.122797 124.398447 -20.196196 1396.110624 -6.839 -6.839 0.000000 3.324359 0.000 0 0.000
39301.00 1291.96 100.138999 0.0000000000000000 0.000000 245.312425 -1178427.327620 30.124825 124.404621 -20.203407 1396.052688 -6.844 -6.844 0.000000 3.324136 0.000 0 0.000
39201.00 1291.77 100.138999 0.0000000000000000 0.000000 245.312425 -1178728.586015 30.126855 124.410796 -20.210625 1395.994954 -6.850 -6.850 0.000000 3.323911 0.000 0 0.000
39101.00 1291.58 100.138999 0.0000000000000000 0.000000 245.312425 -1179029.864725 30.128888 124.416972 -20.217849 1395.937423 -6.855 -6.855 0.000000 3.323687 0.000 0 0.000
39001.00 1291.39 100.138999 0.0000000000000000 0.000000 245.312425 -1179331.163780 30.130924 124.423149 -20.225080 1395.880097 -6.860 -6.860 0.000000 3.323463 0.000 0 0.000
38901.00 1291.19 100.138999 0.0000000000000000 0.000000 245.312425 -1179632.483206 30.132962 124.429327 -20.232318 1395.822978 -6.865 -6.865 0.000000 3.323238 0.000 0 0.000
38801.00 1291.00 100.138999 0.0000000000000000 0.000000 245.312425 -1179933.823033 30.135004 124.435506 -20.239563 1395.766069 -6.871 -6.871 0.000000 3.323013 0.000 0 0.000
38701.00 1290.81 100.138999 0.0000000000000000 0.000000 245.312425 -1180235.183289 30.137048 124.441687 -20.246815 1395.709372 -6.876 -6.876 0.000000 3.322787 0.000 0 0.000
38601.00 1290.62 100.138999 0.0000000000000000 0.000000 245.312425 -1180536.564004 30.139095 124.447868 -20.254074 1395.652888 -6.882 -6.882 0.000000 3.322562 0.000 0 0.000
38501.00 1290.43 100.138999 0.0000000000000000 0.000000 245.312425 -1180837.965206 30.141146 124.454051 -20.261340 1395.596621 -6.887 -6.887 0.000000 3.322336 0.000 0 0.000
38401.00 1290.23 100.138999 0.0000000000000000 0.000000 245.312425 -1181139.386925 30.143199 124.460235 -20.268613 1395.540572 -6.892 -6.892 0.000000 3.322109 0.000 0 0.000
38301.00 1290.04 100.138999 0.0000000000000000 0.000000 245.312425 -1181440.829190 30.145255 124.466421 -20.275894 1395.484743 -6.898 -6.898 0.000000 3.321883 0.000 0 0.000
38201.00 1289.85 100.138999 0.0000000000000000 0.000000 245.312425 -1181742.292032 30.147314 124.472608 -20.283182 1395.429138 -6.903 -6.903 0.000000 3.321656 0.000 0 0.000
38101.00 1289.66 100.138999 0.0000000000000000 0.000000 245.312425 -1182043.775481 30.149376 124.478796 -20.290478 1395.373757 -6.909 -6.909 0.000000 3.321429 0.000 0 0.000
38001.00 1289.47 100.138999 0.0000000000000000 0.000000 245.312425 -1182345.279567 30.151441 124.484986 -20.297781 1395.318604 -6.914 -6.914 0.000000 3.321201 0.000 0 0.000
37901.00 1289.27 100.138999 0.0000000000000000 0.000000 245.312425 -1182646.804320 30.153510 124.491177 -20.305091 1395.263682 -6.920 -6.920 0.000000 3.320973 0.000 0 0.000
37801.00 1289.08 100.138999 0.0000000000000000 0.000000 245.312425 -1182948.349773 30.155581 124.497370 -20.312409 1395.208992 -6.925 -6.925 0.000000 3.320745 0.000 0 0.000
37701.00 1288.89 100.138999 0.0000000000000000 0.000000 245.312425 -1183249.915956 30.157656 124.503564 -20.319735 1395.154537 -6.931 -6.931 0.000000 3.320517 0.000 0 0.000
37601.00 1288.70 100.138999 0.0000000000000000 0.000000 245.312425 -1183551.502901 30.159734 124.509760 -20.327069 1395.100320 -6.936 -6.936 0.000000 3.320288 0.000 0 0.000
37501.00 1288.51 100.138999 0.0000000000000000 0.000000 245.312425 -1183853.110639 30.161815 124.515958 -20.334411 1395.046342 -6.942 -6.942 0.000000 3.320059 0.000 0 0.000
37401.00 1288.31 100.138999 0.0000000000000000 0.000000 245.312425 -1184154.739203 30.163899 124.522157 -20.341761 1394.992608 -6.947 -6.947 0.000000 3.319829 0.000 0 0.000
37301.00 1288.12 100.138999 0.0000000000000000 0.000000 245.312425 -1184456.388626 30.165986 124.528358 -20.349119 1394.939120 -6.953 -6.953 0.000000 3.319600 0.000 0 0.000
37201.00 1287.93 100.138999 0.0000000000000000 0.000000 245.312425 -1184758.058939 30.168077 124.534561 -20.356485 1394.885880 -6.958 -6.958 0.000000 3.319370 0.000 0 0.000
37101.00 1287.74 100.138999 0.0000000000000000 0.000000 245.312425 -1185059.750176 30.170171 124.540766 -20.363860 1394.832890 -6.964 -6.964 0.000000 3.319139 0.000 0 0.000
37001.00 1287.54 100.138999 0.0000000000000000 0.000000 245.312425 -1185361.462371 30.172268 124.546972 -20.371243 1394.780155 -6.970 -6.970 0.000000 3.318909 0.000 0 0.000
36901.00 1287.35 100.138999 0.0000000000000000 0.000000 245.312425 -1185663.195557 30.174369 124.553181 -20.378634 1394.727677 -6.975 -6.975 0.000000 3.318677 0.000 0 0.000
36801.00 1287.16 100.138999 0.0000000000000000 0.000000 245.312425 -1185964.949767 30.176473 124.559391 -20.386034 1394.675458 -6.981 -6.981 0.000000 3.318446 0.000 0 0.000
36701.00 1286.96 100.138999 0.0000000000000000 0.000000 245.312425 -1186266.725037 30.178581 124.565604 -20.393443 1394.623502 -6.987 -6.987 0.000000 3.318214 0.000 0 0.000
