Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1515.95 100.138999 0.000000 59.079190 12.432499 13.112604 14.398144 0.000000 1.116561 
43901.00 1515.71 100.138999 0.000000 59.077873 12.418807 13.118798 14.405619 0.000000 1.117902 
43801.00 1515.48 100.138999 0.000000 59.076543 12.405015 13.125027 14.413159 0.000000 1.119255 
43701.00 1515.24 100.138999 0.000000 59.075201 12.391120 13.131290 14.420766 0.000000 1.120622 
43601.00 1515.01 100.138999 0.000000 59.073846 12.377123 13.137589 14.428440 0.000000 1.122001 
43501.00 1514.77 100.138999 0.000000 59.072479 12.363021 13.143923 14.436182 0.000000 1.123394 
43401.00 1514.53 100.138999 0.000000 59.071098 12.348814 13.150294 14.443993 0.000000 1.124800 
43301.00 1514.30 100.138999 0.000000 59.069704 12.334502 13.156701 14.451872 0.000000 1.126220 
43201.00 1514.06 100.138999 0.000000 59.068297 12.320081 13.163145 14.459822 0.000000 1.127654 
43101.00 1513.83 100.138999 0.000000 59.066876 12.305553 13.169626 14.467842 0.000000 1.129102 
43001.00 1513.59 100.138999 0.000000 59.065441 12.290915 13.176145 14.475934 0.000000 1.130564 
42901.00 1513.35 100.138999 0.000000 59.063992 12.276165 13.182702 14.484099 0.000000 1.132041 
42801.00 1513.12 100.138999 0.000000 59.062529 12.261304 13.189297 14.492336 0.000000 1.133533 
42701.00 1512.88 100.138999 0.000000 59.061051 12.246330 13.195931 14.500647 0.000000 1.135040 
42601.00 1512.64 100.138999 0.000000 59.059559 12.231241 13.202604 14.509033 0.000000 1.136561 
42501.00 1512.41 100.138999 0.000000 59.058052 12.216037 13.209317 14.517495 0.000000 1.138099 
42401.00 1512.17 100.138999 0.000000 59.056529 12.200716 13.216070 14.526033 0.000000 1.139652 
42301.00 1511.93 100.138999 0.000000 59.054991 12.185276 13.222863 14.534648 0.000000 1.141221 
42201.00 1511.70 100.138999 0.000000 59.053438 12.169717 13.229698 14.543341 0.000000 1.142806 
42101.00 1511.46 100.138999 0.000000 59.051869 12.154037 13.236574 14.552113 0.000000 1.144407 
42001.00 1511.22 100.138999 0.000000 59.050284 12.138234 13.243491 14.560965 0.000000 1.146025 
41901.00 1510.99 100.138999 0.000000 59.048682 12.122308 13.250451 14.569898 0.000000 1.147660 
41801.00 1510.75 100.138999 0.000000 59.047064 12.106257 13.257454 14.578912 0.000000 1.149312 
41701.00 1510.51 100.138999 0.000000 59.045429 12.090080 13.264500 14.588009 0.000000 1.150982 
41601.00 1510.28 100.138999 0.000000 59.043776 12.073775 13.271589 14.597190 0.000000 1.152669 
41501.00 1510.04 100.138999 0.000000 59.042107 12.057340 13.278723 14.606455 0.000000 1.154374 
41401.00 1509.80 100.138999 0.000000 59.040419 12.040775 13.285902 14.615805 0.000000 1.156098 
41301.00 1509.56 100.138999 0.000000 59.038714 12.024077 13.293126 14.625242 0.000000 1.157840 
41201.00 1509.33 100.138999 0.000000 59.036991 12.007246 13.300395 14.634767 0.000000 1.159600 
41101.00 1509.09 100.138999 0.000000 59.035249 11.990279 13.307711 14.644379 0.000000 1.161380 
41001.00 1508.85 100.138999 0.000000 59.033488 11.973176 13.315074 14.654082 0.000000 1.163180 
40901.00 1508.61 100.138999 0.000000 59.031708 11.955933 13.322484 14.663874 0.000000 1.164999 
40801.00 1508.37 100.138999 0.000000 59.029909 11.938551 13.329942 14.673759 0.000000 1.166838 
40701.00 1508.14 100.138999 0.000000 59.028090 11.921027 13.337449 14.683735 0.000000 1.168698 
40601.00 1507.90 100.138999 0.000000 59.026251 11.903359 13.345005 14.693806 0.000000 1.170578 
40501.00 1507.66 100.138999 0.000000 59.024391 11.885546 13.352610 14.703972 0.000000 1.172480 
40401.00 1507.42 100.138999 0.000000 59.022511 11.867587 13.360266 14.714233 0.000000 1.174402 
40301.00 1507.18 100.138999 0.000000 59.020610 11.849478 13.367972 14.724592 0.000000 1.176347 
40201.00 1506.94 100.138999 0.000000 59.018688 11.831219 13.375731 14.735048 0.000000 1.178314 
40101.00 1506.71 100.138999 0.000000 59.016743 11.812808 13.383541 14.745605 0.000000 1.180303 
40001.00 1506.47 100.138999 0.000000 59.014777 11.794242 13.391404 14.756262 0.000000 1.182314 
39901.00 1506.23 100.138999 0.000000 59.012788 11.775520 13.399321 14.767021 0.000000 1.184350 
39801.00 1505.99 100.138999 0.000000 59.010776 11.756641 13.407291 14.777883 0.000000 1.186408 
39701.00 1505.75 100.138999 0.000000 59.008741 11.737601 13.415317 14.788849 0.000000 1.188491 
39601.00 1505.51 100.138999 0.000000 59.006683 11.718400 13.423398 14.799921 0.000000 1.190598 
39501.00 1505.27 100.138999 0.000000 59.004600 11.699034 13.431535 14.811100 0.000000 1.192730 
39401.00 1505.03 100.138999 0.000000 59.002493 11.679503 13.439729 14.822387 0.000000 1.194887 
39301.00 1504.79 100.138999 0.000000 59.000361 11.659804 13.447981 14.833784 0.000000 1.197070 
39201.00 1504.55 100.138999 0.000000 58.998204 11.639934 13.456291 14.845292 0.000000 1.199278 
39101.00 1504.31 100.138999 0.000000 58.996021 11.619892 13.464660 14.856912 0.000000 1.201514 
39001.00 1504.07 100.138999 0.000000 58.993813 11.599675 13.473090 14.868646 0.000000 1.203776 
38901.00 1503.83 100.138999 0.000000 58.991577 11.579282 13.481580 14.880495 0.000000 1.206065 
38801.00 1503.59 100.138999 0.000000 58.989315 11.558709 13.490131 14.892461 0.000000 1.208383 
38701.00 1503.35 100.138999 0.000000 58.987025 11.537955 13.498746 14.904545 0.000000 1.210729 
38601.00 1503.11 100.138999 0.000000 58.984707 11.517017 13.507423 14.916749 0.000000 1.213104 
38501.00 1502.87 100.138999 0.000000 58.982360 11.495893 13.516164 14.929074 0.000000 1.215508 
38401.00 1502.63 100.138999 0.000000 58.979985 11.474581 13.524970 14.941521 0.000000 1.217942 
38301.00 1502.39 100.138999 0.000000 58.977580 11.453077 13.533842 14.954093 0.000000 1.220406 
38201.00 1502.15 100.138999 0.000000 58.975145 11.431380 13.542781 14.966791 0.000000 1.222902 
38101.00 1501.91 100.138999 0.000000 58.972680 11.409486 13.551788 14.979617 0.000000 1.225429 
38001.00 1501.67 100.138999 0.000000 58.970183 11.387393 13.560863 14.992572 0.000000 1.227988 
