Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
25801.00 1468.68 0.300020 0.892243 -3168.904521 0.100242 0.469443 0.134 42.399 1.17862 10.8254 0.324847 0.450142 11.728 0.0645666 18.862 0.0403052 5.42648 8.70078
25701.00 1468.33 0.312634 0.929497 -3305.049102 0.104490 0.489234 0.139 42.4141 1.17186 10.8906 0.32486 0.44273 11.7081 0.0638984 18.8388 0.039878 5.45856 8.64655
25601.00 1467.98 0.325477 0.967411 -3443.860076 0.108817 0.509389 0.144 42.4294 1.16506 10.9559 0.324845 0.435323 11.6883 0.063234 18.8155 0.0394533 5.49097 8.59198
25501.00 1467.62 0.338554 1.005994 -3585.386598 0.113225 0.529913 0.149 42.4447 1.15822 11.021 0.324801 0.427923 11.6687 0.0625737 18.7923 0.0390314 5.5237 8.53707
25401.00 1467.27 0.351868 1.045260 -3729.678539 0.117715 0.550813 0.154 42.4602 1.15134 11.086 0.324727 0.420532 11.6491 0.0619173 18.7689 0.0386121 5.55675 8.48183
25301.00 1466.91 0.365425 1.085218 -3876.786465 0.122289 0.572097 0.159 42.4757 1.14443 11.151 0.324621 0.413152 11.6297 0.0612649 18.7456 0.0381955 5.59012 8.42625
25201.00 1466.55 0.379227 1.125881 -4026.761612 0.126948 0.593769 0.164 42.4913 1.13747 11.2158 0.324482 0.405785 11.6104 0.0606166 18.7222 0.0377817 5.62382 8.37034
25101.00 1466.19 0.393280 1.167261 -4179.655851 0.131693 0.615838 0.169 42.507 1.13048 11.2806 0.32431 0.398432 11.5912 0.0599724 18.6987 0.0373705 5.65785 8.3141
25001.00 1465.82 0.407588 1.209367 -4335.521642 0.136527 0.638309 0.175 42.5227 1.12344 11.3452 0.324102 0.391097 11.5721 0.0593323 18.6752 0.0369622 5.69221 8.25754
24901.00 1465.46 0.422154 1.252214 -4494.412012 0.141450 0.661190 0.180 42.5386 1.11637 11.4098 0.323858 0.38378 11.5531 0.0586963 18.6517 0.0365565 5.7269 8.20067
24801.00 1465.09 0.436984 1.295812 -4656.380481 0.146464 0.684487 0.185 42.5545 1.10926 11.4742 0.323576 0.376484 11.5343 0.0580644 18.6281 0.0361537 5.76193 8.14348
24701.00 1464.72 0.452082 1.340174 -4821.481016 0.151571 0.708208 0.190 42.5705 1.1021 11.5386 0.323255 0.369211 11.5155 0.0574368 18.6044 0.0357536 5.79729 8.08598
24601.00 1464.34 0.467451 1.385310 -4989.767965 0.156773 0.732359 0.196 42.5866 1.09491 11.6028 0.322894 0.361964 11.4969 0.0568134 18.5806 0.0353564 5.83299 8.02818
24501.00 1463.97 0.483097 1.431234 -5161.295983 0.162069 0.756947 0.201 42.6027 1.08768 11.6668 0.322491 0.354743 11.4784 0.0561942 18.5568 0.034962 5.86903 7.97007
24401.00 1463.59 0.499024 1.477958 -5336.119944 0.167464 0.781979 0.206 42.619 1.08041 11.7308 0.322045 0.347551 11.4601 0.0555793 18.5329 0.0345704 5.90541 7.91167
24301.00 1463.20 0.515236 1.525492 -5514.294853 0.172957 0.807463 0.211 42.6353 1.0731 11.7946 0.321554 0.340391 11.4418 0.0549687 18.509 0.0341817 5.94213 7.85298
24201.00 1462.82 0.531739 1.573849 -5695.875730 0.178550 0.833404 0.217 42.6516 1.06574 11.8583 0.321017 0.333263 11.4237 0.0543624 18.4849 0.0337958 5.9792 7.794
24101.00 1462.43 0.548535 1.623041 -5880.917507 0.184246 0.859810 0.222 42.6681 1.05835 11.9219 0.320432 0.326171 11.4058 0.0537605 18.4608 0.0334129 6.01661 7.73474
24001.00 1462.04 0.565630 1.673080 -6069.474880 0.190045 0.886689 0.227 42.6846 1.05092 11.9853 0.319798 0.319116 11.3879 0.0531629 18.4366 0.0330328 6.05437 7.6752
23901.00 1461.65 0.583028 1.723976 -6261.602169 0.195949 0.914045 0.233 42.7012 1.04344 12.0485 0.319114 0.312101 11.3702 0.0525697 18.4123 0.0326556 6.09248 7.61539
23801.00 1461.25 0.600733 1.775741 -6457.353149 0.201959 0.941887 0.238 42.7178 1.03593 12.1116 0.318377 0.305127 11.3527 0.051981 18.3879 0.0322814 6.13093 7.55532
23701.00 1460.85 0.618749 1.828386 -6656.780870 0.208078 0.970221 0.244 42.7345 1.02837 12.1746 0.317587 0.298196 11.3353 0.0513967 18.3634 0.0319101 6.16974 7.49499
23601.00 1460.45 0.637080 1.881921 -6859.937446 0.214306 0.999053 0.249 42.7513 1.02077 12.2374 0.316741 0.29131 11.318 0.0508169 18.3388 0.0315417 6.20889 7.43441
23501.00 1460.05 0.655731 1.936357 -7066.873835 0.220644 1.028389 0.255 42.7682 1.01313 12.3001 0.315838 0.284472 11.3009 0.0502415 18.314 0.0311763 6.24839 7.37358
23401.00 1459.64 0.674705 1.991704 -7277.639584 0.227095 1.058235 0.260 42.7851 1.00545 12.3625 0.314876 0.277684 11.284 0.0496707 18.2892 0.0308139 6.28825 7.31251
23301.00 1459.23 0.694006 2.047971 -7492.282545 0.233660 1.088598 0.266 42.8021 0.997722 12.4248 0.313854 0.270946 11.2671 0.0491044 18.2642 0.0304545 6.32845 7.2512
23201.00 1458.81 0.713638 2.105166 -7710.848574 0.240339 1.119481 0.271 42.8191 0.989954 12.487 0.312769 0.264263 11.2505 0.0485427 18.2391 0.030098 6.36901 7.18967
23101.00 1458.39 0.733603 2.163297 -7933.381180 0.247134 1.150891 0.277 42.8362 0.982142 12.549 0.311621 0.257634 11.234 0.0479855 18.2138 0.0297446 6.40992 7.12792
23001.00 1457.97 0.753904 2.222373 -8159.921152 0.254046 1.182832 0.282 42.8534 0.974288 12.6107 0.310407 0.251063 11.2177 0.047433 18.1884 0.0293942 6.45118 7.06595
22901.00 1457.54 0.774545 2.282398 -8390.506136 0.261076 1.215307 0.288 42.8707 0.966389 12.6724 0.309125 0.244551 11.2016 0.0468851 18.1629 0.0290469 6.49279 7.00378
22801.00 1457.11 0.795527 2.343378 -8625.170170 0.268225 1.248322 0.293 42.888 0.958446 12.7338 0.307774 0.2381 11.1856 0.0463418 18.1372 0.0287026 6.53475 6.94141
22701.00 1456.68 0.816853 2.405318 -8863.943178 0.275494 1.281878 0.299 42.9053 0.950458 12.795 0.306352 0.231712 11.1698 0.0458033 18.1113 0.0283614 6.57706 6.87884
22601.00 1456.24 0.838524 2.468219 -9106.850396 0.282883 1.315977 0.305 42.9227 0.942426 12.8561 0.304858 0.225389 11.1542 0.0452694 18.0852 0.0280232 6.61972 6.8161
22501.00 1455.79 0.860542 2.532084 -9353.911751 0.290392 1.350622 0.310 42.9402 0.934347 12.9169 0.303289 0.219132 11.1387 0.0447403 18.059 0.0276882 6.66272 6.75318
22401.00 1455.35 0.882906 2.596912 -9605.141174 0.298023 1.385814 0.316 42.9578 0.926223 12.9776 0.301643 0.212944 11.1235 0.0442159 18.0326 0.0273562 6.70607 6.69009
22301.00 1454.90 0.905617 2.662701 -9860.545831 0.305774 1.421550 0.322 42.9754 0.918052 13.038 0.299919 0.206826 11.1085 0.0436963 18.006 0.0270274 6.74976 6.62685
22201.00 1454.44 0.928673 2.729447 -10120.125283 0.313646 1.457832 0.327 42.9931 0.909835 13.0982 0.298114 0.20078 11.0937 0.0431815 17.9792 0.0267017 6.79379 6.56345
22101.00 1454.00 0.958745 2.816846 -10456.295329 0.323901 1.505125 0.333 43.0167 0.904269 13.1455 0.297573 0.196468 11.0751 0.0427269 17.9535 0.0264131 6.83652 6.50516
22001.00 1453.59 1.001823 2.942579 -10934.310919 0.338576 1.572836 0.339 43.0515 0.903713 13.1687 0.299529 0.195276 11.0493 0.0423776 17.9304 0.0261894 6.87648 6.45649
21901.00 1453.18 1.045132 3.068913 -11415.563424 0.353339 1.640916 0.344 43.0865 0.903136 13.1918 0.301502 0.194082 11.0234 0.0420293 17.9072 0.0259663 6.91671 6.40763
21801.00 1452.77 1.045062 3.067825 -11423.356213 0.353442 1.640890 0.350 43.1215 0.902548 13.2148 0.303501 0.19288 10.9976 0.0416818 17.884 0.0257438 6.95728 6.35845
21701.00 1452.36 1.044994 3.066737 -11431.175346 0.353545 1.640866 0.356 43.1565 0.901948 13.2376 0.305524 0.191669 10.9719 0.0413351 17.8608 0.0255219 6.99819 6.30896
21601.00 1451.94 1.044929 3.065649 -11439.021715 0.353648 1.640844 0.362 43.1916 0.901336 13.2603 0.307573 0.19045 10.9462 0.0409892 17.8376 0.0253007 7.03944 6.25917
21501.00 1451.53 1.044866 3.064562 -11446.896248 0.353752 1.640826 0.367 43.2267 0.900712 13.2829 0.309647 0.189222 10.9206 0.0406442 17.8144 0.0250801 7.08104 6.20906
21401.00 1451.11 1.044805 3.063475 -11454.799915 0.353857 1.640810 0.373 43.2618 0.900075 13.3054 0.311747 0.187987 10.895 0.0403001 17.7912 0.0248601 7.12298 6.15865
21301.00 1450.70 1.044748 3.062388 -11462.733725 0.353962 1.640797 0.379 43.297 0.899427 13.3277 0.313873 0.186744 10.8695 0.0399568 17.7679 0.0246408 7.16527 6.10794
21201.00 1450.28 1.044693 3.061303 -11470.698731 0.354068 1.640787 0.385 43.3322 0.898766 13.3499 0.316026 0.185494 10.844 0.0396145 17.7447 0.0244222 7.20792 6.05692
21101.00 1449.86 1.044641 3.060219 -11478.696026 0.354174 1.640780 0.390 43.3674 0.898093 13.372 0.318205 0.184236 10.8186 0.0392731 17.7214 0.0242042 7.25092 6.00561
21001.00 1449.43 1.044592 3.059137 -11486.726758 0.354282 1.640776 0.396 43.4027 0.897406 13.3939 0.320412 0.182972 10.7932 0.0389326 17.6981 0.0239869 7.29428 5.954
20901.00 1449.01 1.044547 3.058057 -11494.792112 0.354389 1.640776 0.402 43.438 0.896707 13.4157 0.322645 0.1817 10.7679 0.038593 17.6748 0.0237703 7.338 5.9021
