Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
2801.00 1189.39 1.204518 3.157841 -15579.773410 0.456049 1.836478 3.304 55.4199 0.627101 18.4315 0.512782 0.0464983 3.84309 0.00258197 7.86111 0.00130987 12.4268 0.827335
2701.00 1188.35 1.219360 3.192986 -15778.071505 0.461666 1.859069 3.311 55.4185 0.626715 18.3931 0.526376 0.0455624 3.84409 0.00252007 7.85778 0.00127707 12.5584 0.725669
2601.00 1187.27 1.234724 3.229480 -15983.630334 0.467514 1.882418 3.319 55.427 0.625459 18.3534 0.539685 0.0447736 3.84214 0.00246075 7.8515 0.00124559 12.6815 0.630823
2501.00 1186.13 1.250291 3.266506 -16192.385983 0.473477 1.906035 3.329 55.4463 0.62325 18.3123 0.55262 0.0441365 3.83705 0.00240419 7.84219 0.0012155 12.7954 0.54321
2401.00 1184.94 1.265618 3.302927 -16398.644903 0.479390 1.929240 3.341 55.4774 0.62002 18.2694 0.565093 0.0436546 3.82868 0.00235054 7.82984 0.00118691 12.8991 0.463176
2301.00 1183.70 1.280134 3.337278 -16595.035806 0.485042 1.951162 3.354 55.5214 0.615719 18.2245 0.577022 0.0433301 3.81697 0.0023 7.81449 0.00115989 12.9922 0.390966
2201.00 1182.41 1.293161 3.367819 -16772.739155 0.490177 1.970761 3.369 55.5786 0.610322 18.177 0.588331 0.0431625 3.80193 0.00225273 7.79625 0.00113453 13.0743 0.326692
2101.00 1181.09 1.303955 3.392647 -16922.076083 0.494515 1.986906 3.386 55.6496 0.603837 18.1267 0.59896 0.0431486 3.78368 0.00220889 7.7753 0.00111092 13.1452 0.270304
2001.00 1179.73 1.311782 3.409891 -17033.450252 0.497777 1.998481 3.404 55.7342 0.596306 18.0729 0.608865 0.0432815 3.76245 0.00216863 7.75192 0.00108914 13.2052 0.221574
1901.00 1178.34 1.316010 3.417940 -17098.503912 0.499719 2.004522 3.425 55.8323 0.587804 18.0153 0.618019 0.0435509 3.73858 0.00213206 7.72643 0.00106923 13.2547 0.180098
1801.00 1176.94 1.316188 3.415655 -17111.230504 0.500165 2.004351 3.446 55.9431 0.578437 17.9535 0.626412 0.0439428 3.71247 0.00209924 7.69924 0.00105125 13.2945 0.145316
1701.00 1175.54 1.312108 3.402528 -17068.754688 0.499028 1.997658 3.469 56.0657 0.568334 17.8869 0.634052 0.0444405 3.68458 0.00207023 7.67076 0.00103521 13.3255 0.116554
1601.00 1174.15 1.303826 3.378718 -16971.583805 0.496322 1.984536 3.493 56.1992 0.557637 17.8154 0.640956 0.0450252 3.65541 0.00204501 7.64144 0.00102112 13.3488 0.0930712
1501.00 1172.77 1.291630 3.344992 -16823.310899 0.492146 1.965434 3.518 56.3422 0.546495 17.7387 0.647154 0.0456771 3.62541 0.00202359 7.61171 0.00100898 13.3655 0.0741113
1401.00 1171.43 1.275994 3.302578 -16629.917532 0.486673 1.941082 3.543 56.4938 0.535055 17.6564 0.652677 0.0463766 3.59504 0.0020059 7.58196 0.000998755 13.3768 0.0589451
1301.00 1170.13 1.257504 3.252995 -16398.905668 0.480117 1.912380 3.569 56.6526 0.523454 17.5686 0.657563 0.0471047 3.56468 0.00199191 7.55257 0.000990426 13.3835 0.046903
1201.00 1168.87 1.236796 3.197884 -16138.467366 0.472714 1.880305 3.595 56.8177 0.511821 17.4751 0.661851 0.0478442 3.53467 0.00198154 7.52384 0.000983958 13.3867 0.0373939
1101.00 1167.66 1.214507 3.138882 -15856.818794 0.464701 1.845831 3.621 56.9882 0.500268 17.376 0.665579 0.0485799 3.50528 0.00197472 7.49603 0.000979312 13.3872 0.029912
1001.00 1166.50 1.191236 3.077525 -15561.735650 0.456303 1.809874 3.646 57.1633 0.488893 17.2713 0.668788 0.0492987 3.47671 0.00197139 7.46936 0.000976451 13.3854 0.0240364
901.00 1165.40 1.167525 3.015199 -15260.265601 0.447722 1.773260 3.672 57.3422 0.477776 17.161 0.67152 0.0499896 3.44913 0.00197147 7.444 0.000975332 13.3819 0.0194236
801.00 1164.35 1.143844 2.953108 -14958.569136 0.439139 1.736710 3.697 57.5245 0.466982 17.0454 0.673816 0.050644 3.42266 0.00197488 7.42009 0.000975914 13.3772 0.0157978
701.00 1163.36 1.120592 2.892259 -14661.843021 0.430703 1.700827 3.722 57.7095 0.456561 16.9245 0.675718 0.0512552 3.39737 0.00198156 7.39773 0.000978154 13.3714 0.0129408
