Title: Depleted MORB Mantle of Workmann & Hart 2005

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O 
1301.00 1170.13 1.257504 56.6526 0.523454 17.5686 0.657563 0.0471047 3.56468 0.00199191 7.55257 0.000990426 13.3835 0.046903
1201.00 1168.87 1.236796 56.8177 0.511821 17.4751 0.661851 0.0478442 3.53467 0.00198154 7.52384 0.000983958 13.3867 0.0373939
1101.00 1167.66 1.214507 56.9882 0.500268 17.376 0.665579 0.0485799 3.50528 0.00197472 7.49603 0.000979312 13.3872 0.029912
1001.00 1166.50 1.191236 57.1633 0.488893 17.2713 0.668788 0.0492987 3.47671 0.00197139 7.46936 0.000976451 13.3854 0.0240364
901.00 1165.40 1.167525 57.3422 0.477776 17.161 0.67152 0.0499896 3.44913 0.00197147 7.444 0.000975332 13.3819 0.0194236
801.00 1164.35 1.143844 57.5245 0.466982 17.0454 0.673816 0.050644 3.42266 0.00197488 7.42009 0.000975914 13.3772 0.0157978
701.00 1163.36 1.120592 57.7095 0.456561 16.9245 0.675718 0.0512552 3.39737 0.00198156 7.39773 0.000978154 13.3714 0.0129408
601.00 1162.42 1.098086 57.8969 0.446544 16.7986 0.677266 0.0518184 3.3733 0.00199143 7.37697 0.000982011 13.3649 0.0106814
501.00 1161.53 1.076572 58.0863 0.436951 16.6679 0.6785 0.0523304 3.35048 0.00200442 7.35788 0.000987442 13.3578 0.00888646
401.00 1160.70 1.056223 58.2774 0.427788 16.5325 0.679455 0.0527894 3.32891 0.00202046 7.34048 0.000994408 13.3501 0.00745267
301.00 1159.91 1.037150 58.4701 0.419052 16.3928 0.680168 0.0531948 3.30858 0.00203948 7.32477 0.00100287 13.342 0.00630045
201.00 1159.16 1.019405 58.664 0.41073 16.2489 0.680668 0.0535469 3.28946 0.00206144 7.31076 0.0010128 13.3335 0.00536841
101.00 1158.45 1.002996 58.8591 0.402805 16.1009 0.680982 0.0538471 3.27152 0.0020863 7.29845 0.00102418 13.3246 0.00460928
1.00 1157.78 0.987897 59.0553 0.395255 15.9492 0.681137 0.0540968 3.25474 0.00211401 7.28782 0.00103697 13.3153 0.00398656
