Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
44001.00 1401.59 100.138992 0.000000 59.090870 13.034756 13.769647 13.183002 0.000000 0.000000 1.060716 
43901.00 1401.38 100.138992 0.000000 59.089963 13.024032 13.777836 13.185482 0.000000 0.000000 1.061680 
43801.00 1401.17 100.138992 0.000000 59.089047 13.013232 13.786073 13.187989 0.000000 0.000000 1.062651 
43701.00 1400.96 100.138992 0.000000 59.088124 13.002355 13.794359 13.190523 0.000000 0.000000 1.063631 
43601.00 1400.75 100.138992 0.000000 59.087192 12.991400 13.802695 13.193085 0.000000 0.000000 1.064619 
43501.00 1400.54 100.138992 0.000000 59.086253 12.980366 13.811082 13.195675 0.000000 0.000000 1.065616 
43401.00 1400.33 100.138992 0.000000 59.085305 12.969253 13.819519 13.198293 0.000000 0.000000 1.066622 
43301.00 1400.12 100.138992 0.000000 59.084349 12.958060 13.828007 13.200939 0.000000 0.000000 1.067637 
43201.00 1399.91 100.138992 0.000000 59.083385 12.946787 13.836547 13.203613 0.000000 0.000000 1.068660 
43101.00 1399.70 100.138992 0.000000 59.082412 12.935431 13.845139 13.206317 0.000000 0.000000 1.069693 
43001.00 1399.49 100.138992 0.000000 59.081430 12.923993 13.853784 13.209050 0.000000 0.000000 1.070735 
42901.00 1399.28 100.138992 0.000000 59.080439 12.912471 13.862483 13.211812 0.000000 0.000000 1.071787 
42801.00 1399.07 100.138992 0.000000 59.079440 12.900865 13.871235 13.214605 0.000000 0.000000 1.072848 
42701.00 1398.86 100.138992 0.000000 59.078431 12.889174 13.880041 13.217427 0.000000 0.000000 1.073918 
42601.00 1398.65 100.138992 0.000000 59.077413 12.877397 13.888902 13.220280 0.000000 0.000000 1.074999 
42501.00 1398.44 100.138992 0.000000 59.076386 12.865534 13.897819 13.223163 0.000000 0.000000 1.076090 
42401.00 1398.23 100.138992 0.000000 59.075350 12.853582 13.906792 13.226078 0.000000 0.000000 1.077190 
42301.00 1398.02 100.138992 0.000000 59.074303 12.841542 13.915822 13.229024 0.000000 0.000000 1.078301 
42201.00 1397.81 100.138992 0.000000 59.073247 12.829413 13.924909 13.232001 0.000000 0.000000 1.079422 
42101.00 1397.60 100.138992 0.000000 59.072181 12.817193 13.934053 13.235011 0.000000 0.000000 1.080554 
42001.00 1397.38 100.138992 0.000000 59.071105 12.804881 13.943256 13.238053 0.000000 0.000000 1.081697 
41901.00 1397.17 100.138992 0.000000 59.070019 12.792477 13.952518 13.241127 0.000000 0.000000 1.082850 
41801.00 1396.96 100.138992 0.000000 59.068922 12.779980 13.961840 13.244235 0.000000 0.000000 1.084015 
41701.00 1396.75 100.138992 0.000000 59.067815 12.767389 13.971222 13.247376 0.000000 0.000000 1.085191 
41601.00 1396.54 100.138992 0.000000 59.066697 12.754702 13.980665 13.250551 0.000000 0.000000 1.086378 
41501.00 1396.33 100.138992 0.000000 59.065568 12.741919 13.990170 13.253759 0.000000 0.000000 1.087576 
41401.00 1396.12 100.138992 0.000000 59.064428 12.729039 13.999736 13.257002 0.000000 0.000000 1.088787 
41301.00 1395.91 100.138992 0.000000 59.063277 12.716060 14.009366 13.260280 0.000000 0.000000 1.090009 
41201.00 1395.70 100.138992 0.000000 59.062114 12.702981 14.019060 13.263593 0.000000 0.000000 1.091244 
41101.00 1395.48 100.138992 0.000000 59.060940 12.689803 14.028817 13.266942 0.000000 0.000000 1.092490 
41001.00 1395.27 100.138992 0.000000 59.059754 12.676522 14.038640 13.270326 0.000000 0.000000 1.093749 
40901.00 1395.06 100.138992 0.000000 59.058557 12.663139 14.048528 13.273747 0.000000 0.000000 1.095021 
40801.00 1394.85 100.138992 0.000000 59.057347 12.649652 14.058483 13.277204 0.000000 0.000000 1.096306 
40701.00 1394.64 100.138992 0.000000 59.056125 12.636060 14.068505 13.280699 0.000000 0.000000 1.097604 
40601.00 1394.43 100.138992 0.000000 59.054890 12.622361 14.078595 13.284230 0.000000 0.000000 1.098915 
40501.00 1394.22 100.138992 0.000000 59.053643 12.608556 14.088754 13.287800 0.000000 0.000000 1.100239 
40401.00 1394.00 100.138992 0.000000 59.052383 12.594642 14.098982 13.291408 0.000000 0.000000 1.101578 
40301.00 1393.79 100.138992 0.000000 59.051109 12.580618 14.109281 13.295054 0.000000 0.000000 1.102930 
40201.00 1393.58 100.138992 0.000000 59.049823 12.566483 14.119650 13.298740 0.000000 0.000000 1.104296 
40101.00 1393.37 100.138992 0.000000 59.048523 12.552236 14.130092 13.302465 0.000000 0.000000 1.105677 
40001.00 1393.16 100.138992 0.000000 59.047209 12.537875 14.140606 13.306230 0.000000 0.000000 1.107072 
39901.00 1392.95 100.138992 0.000000 59.045881 12.523400 14.151194 13.310035 0.000000 0.000000 1.108482 
39801.00 1392.73 100.138992 0.000000 59.044539 12.508808 14.161857 13.313881 0.000000 0.000000 1.109907 
39701.00 1392.52 100.138992 0.000000 59.043182 12.494099 14.172594 13.317769 0.000000 0.000000 1.111348 
39601.00 1392.31 100.138992 0.000000 59.041811 12.479271 14.183408 13.321698 0.000000 0.000000 1.112804 
39501.00 1392.10 100.138992 0.000000 59.040425 12.464323 14.194299 13.325669 0.000000 0.000000 1.114276 
39401.00 1391.88 100.138992 0.000000 59.039023 12.449253 14.205268 13.329683 0.000000 0.000000 1.115764 
39301.00 1391.67 100.138992 0.000000 59.037606 12.434060 14.216316 13.333741 0.000000 0.000000 1.117268 
39201.00 1391.46 100.138992 0.000000 59.036174 12.418743 14.227444 13.337841 0.000000 0.000000 1.118789 
39101.00 1391.25 100.138992 0.000000 59.034726 12.403300 14.238653 13.341986 0.000000 0.000000 1.120327 
39001.00 1391.04 100.138992 0.000000 59.033261 12.387729 14.249944 13.346176 0.000000 0.000000 1.121882 
38901.00 1390.82 100.138992 0.000000 59.031780 12.372030 14.261318 13.350410 0.000000 0.000000 1.123455 
38801.00 1390.61 100.138992 0.000000 59.030282 12.356200 14.272775 13.354690 0.000000 0.000000 1.125045 
38701.00 1390.40 100.138992 0.000000 59.028767 12.340237 14.284318 13.359017 0.000000 0.000000 1.126653 
38601.00 1390.18 100.138992 0.000000 59.027235 12.324141 14.295946 13.363390 0.000000 0.000000 1.128280 
38501.00 1389.97 100.138992 0.000000 59.025685 12.307910 14.307662 13.367810 0.000000 0.000000 1.129926 
38401.00 1389.76 100.138992 0.000000 59.024117 12.291542 14.319465 13.372278 0.000000 0.000000 1.131590 
