Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
20601.00 1414.10 0.012155 0.035662 -135.387626 0.004207 0.018913 0.662 44.867 0.889194 14.5556 0.190964 0.265093 9.26686 0.0387829 15.2739 0.0234312 5.67108 8.95813
20501.00 1413.75 0.044772 0.131319 -499.065534 0.015500 0.069668 0.668 44.9068 0.888599 14.5766 0.192591 0.262914 9.24768 0.0384401 15.2586 0.0232172 5.71219 8.89243
20401.00 1413.39 0.077855 0.228281 -868.488501 0.026962 0.121158 0.675 44.9465 0.888003 14.5975 0.194243 0.260732 9.22857 0.0380983 15.2432 0.0230039 5.75369 8.82639
20301.00 1413.03 0.111418 0.326587 -1243.815544 0.038597 0.173401 0.681 44.9863 0.887405 14.6182 0.19592 0.258548 9.20954 0.0377576 15.228 0.0227914 5.79557 8.76001
20201.00 1412.67 0.145474 0.426274 -1625.210968 0.050410 0.226420 0.687 45.026 0.886805 14.6387 0.197624 0.256363 9.19058 0.037418 15.2127 0.0225797 5.83785 8.69331
20101.00 1412.30 0.180038 0.527381 -2012.844546 0.062407 0.280236 0.694 45.0657 0.886202 14.6591 0.199355 0.254176 9.17169 0.0370796 15.1975 0.0223687 5.88053 8.62628
20001.00 1411.94 0.215124 0.629949 -2406.891723 0.074592 0.334871 0.700 45.1054 0.885597 14.6793 0.201113 0.251989 9.15288 0.0367422 15.1823 0.0221585 5.92361 8.55893
19901.00 1411.57 0.250747 0.734019 -2807.533818 0.086970 0.390351 0.707 45.145 0.884989 14.6993 0.202898 0.249801 9.13414 0.036406 15.1671 0.0219491 5.96709 8.49126
19801.00 1411.21 0.286923 0.839635 -3214.958227 0.099548 0.446698 0.713 45.1846 0.884378 14.7191 0.204711 0.247612 9.11547 0.036071 15.152 0.0217405 6.01097 8.42328
19701.00 1410.84 0.323668 0.946841 -3629.358647 0.112331 0.503938 0.720 45.2242 0.883764 14.7388 0.206552 0.245425 9.09687 0.0357371 15.1369 0.0215326 6.05526 8.35498
19601.00 1410.46 0.360998 1.055683 -4050.935296 0.125325 0.562096 0.726 45.2637 0.883146 14.7582 0.208422 0.243238 9.07834 0.0354044 15.1219 0.0213256 6.09996 8.28639
