Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1241.35 100.138999 0.000000 59.071240 13.721504 13.808683 12.532054 0.000000 1.005518 
43901.00 1241.17 100.138999 0.000000 59.070708 13.713949 13.815986 12.532215 0.000000 1.006141 
43801.00 1240.99 100.138999 0.000000 59.070173 13.706342 13.823329 12.532387 0.000000 1.006769 
43701.00 1240.81 100.138999 0.000000 59.069633 13.698681 13.830712 12.532572 0.000000 1.007401 
43601.00 1240.63 100.138999 0.000000 59.069090 13.690968 13.838135 12.532770 0.000000 1.008037 
43501.00 1240.45 100.138999 0.000000 59.068542 13.683201 13.845599 12.532980 0.000000 1.008678 
43401.00 1240.28 100.138999 0.000000 59.067990 13.675379 13.853104 12.533203 0.000000 1.009323 
43301.00 1240.10 100.138999 0.000000 59.067434 13.667503 13.860651 12.533438 0.000000 1.009973 
43201.00 1239.92 100.138999 0.000000 59.066874 13.659571 13.868239 12.533687 0.000000 1.010628 
43101.00 1239.74 100.138999 0.000000 59.066309 13.651583 13.875870 12.533949 0.000000 1.011288 
43001.00 1239.56 100.138999 0.000000 59.065741 13.643539 13.883543 12.534224 0.000000 1.011953 
42901.00 1239.38 100.138999 0.000000 59.065167 13.635439 13.891259 12.534512 0.000000 1.012622 
42801.00 1239.20 100.138999 0.000000 59.064589 13.627280 13.899019 12.534814 0.000000 1.013296 
42701.00 1239.02 100.138999 0.000000 59.064007 13.619064 13.906822 12.535130 0.000000 1.013976 
42601.00 1238.84 100.138999 0.000000 59.063420 13.610790 13.914670 12.535459 0.000000 1.014661 
42501.00 1238.66 100.138999 0.000000 59.062828 13.602456 13.922562 12.535803 0.000000 1.015350 
42401.00 1238.48 100.138999 0.000000 59.062232 13.594063 13.930498 12.536160 0.000000 1.016045 
42301.00 1238.30 100.138999 0.000000 59.061630 13.585610 13.938481 12.536532 0.000000 1.016746 
42201.00 1238.12 100.138999 0.000000 59.061024 13.577096 13.946508 12.536919 0.000000 1.017452 
42101.00 1237.94 100.138999 0.000000 59.060413 13.568521 13.954582 12.537320 0.000000 1.018163 
42001.00 1237.77 100.138999 0.000000 59.059797 13.559884 13.962703 12.537736 0.000000 1.018880 
41901.00 1237.59 100.138999 0.000000 59.059175 13.551184 13.970871 12.538167 0.000000 1.019603 
41801.00 1237.41 100.138999 0.000000 59.058549 13.542421 13.979085 12.538613 0.000000 1.020331 
41701.00 1237.23 100.138999 0.000000 59.057917 13.533595 13.987348 12.539074 0.000000 1.021065 
41601.00 1237.05 100.138999 0.000000 59.057280 13.524704 13.995659 12.539551 0.000000 1.021805 
41501.00 1236.87 100.138999 0.000000 59.056638 13.515749 14.004019 12.540043 0.000000 1.022551 
41401.00 1236.69 100.138999 0.000000 59.055990 13.506727 14.012428 12.540551 0.000000 1.023303 
41301.00 1236.51 100.138999 0.000000 59.055336 13.497640 14.020887 12.541075 0.000000 1.024061 
41201.00 1236.33 100.138999 0.000000 59.054677 13.488486 14.029396 12.541615 0.000000 1.024825 
41101.00 1236.15 100.138999 0.000000 59.054012 13.479264 14.037955 12.542172 0.000000 1.025596 
41001.00 1235.97 100.138999 0.000000 59.053341 13.469974 14.046566 12.542744 0.000000 1.026373 
40901.00 1235.79 100.138999 0.000000 59.052665 13.460616 14.055228 12.543334 0.000000 1.027157 
40801.00 1235.61 100.138999 0.000000 59.051982 13.451187 14.063942 12.543941 0.000000 1.027947 
40701.00 1235.43 100.138999 0.000000 59.051293 13.441689 14.072709 12.544564 0.000000 1.028744 
40601.00 1235.25 100.138999 0.000000 59.050599 13.432119 14.081529 12.545205 0.000000 1.029548 
40501.00 1235.07 100.138999 0.000000 59.049897 13.422478 14.090402 12.545863 0.000000 1.030358 
40401.00 1234.89 100.138999 0.000000 59.049190 13.412765 14.099330 12.546539 0.000000 1.031176 
40301.00 1234.71 100.138999 0.000000 59.048476 13.402978 14.108312 12.547233 0.000000 1.032001 
40201.00 1234.53 100.138999 0.000000 59.047755 13.393117 14.117349 12.547944 0.000000 1.032833 
40101.00 1234.35 100.138999 0.000000 59.047028 13.383182 14.126442 12.548674 0.000000 1.033672 
40001.00 1234.17 100.138999 0.000000 59.046294 13.373172 14.135592 12.549422 0.000000 1.034519 
39901.00 1233.99 100.138999 0.000000 59.045554 13.363085 14.144798 12.550189 0.000000 1.035373 
39801.00 1233.81 100.138999 0.000000 59.044806 13.352921 14.154062 12.550975 0.000000 1.036235 
39701.00 1233.63 100.138999 0.000000 59.044051 13.342680 14.163383 12.551780 0.000000 1.037105 
39601.00 1233.45 100.138999 0.000000 59.043289 13.332360 14.172764 12.552604 0.000000 1.037983 
39501.00 1233.27 100.138999 0.000000 59.042519 13.321960 14.182203 12.553448 0.000000 1.038869 
39401.00 1233.09 100.138999 0.000000 59.041743 13.311480 14.191702 12.554311 0.000000 1.039763 
39301.00 1232.91 100.138999 0.000000 59.040958 13.300919 14.201262 12.555194 0.000000 1.040665 
39201.00 1232.73 100.138999 0.000000 59.040166 13.290277 14.210883 12.556098 0.000000 1.041576 
39101.00 1232.55 100.138999 0.000000 59.039366 13.279551 14.220565 12.557022 0.000000 1.042495 
39001.00 1232.37 100.138999 0.000000 59.038558 13.268742 14.230310 12.557966 0.000000 1.043423 
38901.00 1232.19 100.138999 0.000000 59.037743 13.257848 14.240118 12.558932 0.000000 1.044360 
38801.00 1232.01 100.138999 0.000000 59.036919 13.246868 14.249989 12.559918 0.000000 1.045305 
38701.00 1231.83 100.138999 0.000000 59.036086 13.235802 14.259925 12.560926 0.000000 1.046260 
38601.00 1231.65 100.138999 0.000000 59.035245 13.224648 14.269925 12.561956 0.000000 1.047224 
38501.00 1231.47 100.138999 0.000000 59.034396 13.213407 14.279992 12.563007 0.000000 1.048198 
38401.00 1231.29 100.138999 0.000000 59.033538 13.202075 14.290124 12.564080 0.000000 1.049181 
38301.00 1231.11 100.138999 0.000000 59.032671 13.190654 14.300324 12.565176 0.000000 1.050174 
38201.00 1230.93 100.138999 0.000000 59.031795 13.179141 14.310592 12.566295 0.000000 1.051177 
