Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
1601.00 1152.05 0.365434 0.953252 -4762.177123 0.140819 0.552735 3.821 57.6959 1.39051 17.5288 0.682603 0.0894213 3.21224 0.00290687 6.86507 0.00142975 10.6723 1.85876
1501.00 1150.29 1.045760 2.725521 -13642.308726 0.403451 1.581413 3.856 57.8629 1.33085 17.5108 0.677559 0.0886023 3.17387 0.00282905 6.82572 0.00138895 10.7015 1.82396
1401.00 1148.49 1.702315 4.432744 -22230.854439 0.657518 2.573690 3.891 58.0298 1.27301 17.4928 0.671966 0.0878155 3.13544 0.00275333 6.78584 0.00134926 10.7288 1.79042
1301.00 1146.68 1.703408 4.431621 -22268.882506 0.658720 2.574759 3.927 58.198 1.21454 17.4753 0.665819 0.0870186 3.09705 0.00267893 6.7456 0.00131035 10.7552 1.75743
1201.00 1144.84 1.704593 4.430693 -22308.337572 0.659968 2.575963 3.963 58.3672 1.15565 17.4584 0.659141 0.0862123 3.05874 0.00260588 6.70501 0.0012722 10.7808 1.72491
1101.00 1142.98 1.705884 4.429987 -22349.359110 0.661264 2.577319 4.000 58.5371 1.09655 17.4421 0.651955 0.0853974 3.02055 0.00253419 6.66415 0.00123482 10.8057 1.69278
1001.00 1141.10 1.707288 4.429517 -22392.042490 0.662611 2.578840 4.037 58.7072 1.03745 17.4263 0.644283 0.0845742 2.98253 0.00246387 6.62303 0.00119823 10.83 1.66094
901.00 1139.19 1.708810 4.429290 -22436.430706 0.664009 2.580535 4.075 58.8774 0.978546 17.4112 0.636149 0.0837431 2.94473 0.00239492 6.58173 0.0011624 10.8537 1.62929
801.00 1137.26 1.710449 4.429297 -22482.503979 0.665458 2.582402 4.113 59.0471 0.920056 17.3966 0.627577 0.0829042 2.90719 0.00232735 6.54027 0.00112736 10.8772 1.59773
701.00 1135.30 1.712199 4.429515 -22530.166794 0.666952 2.584434 4.151 59.216 0.862185 17.3827 0.618593 0.0820575 2.86995 0.00226115 6.49871 0.00109308 10.9004 1.56614
601.00 1133.31 1.714047 4.429904 -22579.231438 0.668486 2.586611 4.190 59.3837 0.805141 17.3694 0.609223 0.0812026 2.83306 0.00219631 6.45711 0.00105956 10.9235 1.53441
501.00 1131.30 1.715971 4.430399 -22629.396820 0.670050 2.588901 4.229 59.5498 0.749125 17.3568 0.599495 0.0803386 2.79657 0.00213281 6.41552 0.0010268 10.9468 1.5024
401.00 1129.26 1.717939 4.430910 -22680.220681 0.671630 2.591258 4.268 59.7138 0.694338 17.3449 0.589436 0.0794644 2.76054 0.00207064 6.37401 0.00099477 10.9705 1.46995
301.00 1127.19 1.719905 4.431311 -22731.082694 0.673205 2.593614 4.307 59.8754 0.640971 17.3338 0.579079 0.078578 2.72502 0.00200975 6.33264 0.000963462 10.9947 1.4369
201.00 1125.09 1.721807 4.431432 -22781.134137 0.674750 2.595877 4.346 60.0339 0.589212 17.3235 0.568456 0.0776766 2.69007 0.00195012 6.2915 0.000932852 11.0197 1.40305
101.00 1122.96 1.723560 4.431045 -22829.227845 0.676228 2.597920 4.385 60.1889 0.539238 17.3141 0.557604 0.0767568 2.65577 0.00189168 6.25067 0.000902914 11.046 1.36816
1.00 1120.80 1.725050 4.429847 -22873.814696 0.677596 2.599574 4.425 60.3397 0.491218 17.3057 0.546564 0.0758134 2.6222 0.00183438 6.21026 0.000873617 11.0739 1.33195

garnet_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
44001.00 1235.94 13.742060 32.529368 -163946.280337 3.748687 16.559287 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.3003 0 23.9274 0 0 8.97708 0 19.6183 0 5.17686 0
43901.00 1235.76 13.734597 32.510906 -163896.692952 3.746844 16.550595 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.3002 0 23.9274 0 0 8.97594 0 19.617 0 5.17947 0
43801.00 1235.59 13.727082 32.492322 -163846.447691 3.744987 16.541841 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.3001 0 23.9273 0 0 8.97479 0 19.6157 0 5.18208 0
43701.00 1235.41 13.719515 32.473615 -163795.538505 3.743115 16.533023 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.3 0 23.9273 0 0 8.97364 0 19.6144 0 5.1847 0
43601.00 1235.23 13.711895 32.454784 -163743.959269 3.741229 16.524141 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2999 0 23.9272 0 0 8.97249 0 19.6131 0 5.18731 0
43501.00 1235.05 13.704222 32.435827 -163691.703786 3.739328 16.515194 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2998 0 23.9271 0 0 8.97135 0 19.6118 0 5.18993 0
43401.00 1234.87 13.696495 32.416744 -163638.765782 3.737412 16.506182 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2997 0 23.9271 0 0 8.9702 0 19.6105 0 5.19255 0
43301.00 1234.70 13.688714 32.397533 -163585.138908 3.735481 16.497105 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2996 0 23.927 0 0 8.96905 0 19.6092 0 5.19517 0
43201.00 1234.52 13.680879 32.378193 -163530.816734 3.733536 16.487961 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2994 0 23.927 0 0 8.96791 0 19.6079 0 5.19778 0
43101.00 1234.34 13.672989 32.358723 -163475.792754 3.731575 16.478750 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2993 0 23.9269 0 0 8.96676 0 19.6066 0 5.2004 0
43001.00 1234.16 13.665043 32.339122 -163420.060379 3.729598 16.469472 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2992 0 23.9269 0 0 8.96561 0 19.6053 0 5.20302 0
42901.00 1233.98 13.657040 32.319389 -163363.612938 3.727606 16.460126 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2991 0 23.9268 0 0 8.96447 0 19.604 0 5.20565 0
42801.00 1233.80 13.648982 32.299521 -163306.443679 3.725599 16.450710 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.299 0 23.9267 0 0 8.96332 0 19.6026 0 5.20827 0
42701.00 1233.63 13.640866 32.279519 -163248.545763 3.723575 16.441225 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2989 0 23.9267 0 0 8.96217 0 19.6013 0 5.21089 0
42601.00 1233.45 13.632692 32.259381 -163189.912265 3.721536 16.431670 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2988 0 23.9266 0 0 8.96103 0 19.6 0 5.21351 0
42501.00 1233.27 13.624460 32.239105 -163130.536170 3.719481 16.422045 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2987 0 23.9266 0 0 8.95988 0 19.5987 0 5.21614 0
42401.00 1233.09 13.616169 32.218690 -163070.410389 3.717409 16.412347 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2986 0 23.9265 0 0 8.95874 0 19.5974 0 5.21876 0
42301.00 1232.91 13.607819 32.198135 -163009.527718 3.715321 16.402578 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2985 0 23.9264 0 0 8.95759 0 19.5961 0 5.22139 0
42201.00 1232.73 13.599409 32.177439 -162947.880877 3.713216 16.392736 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2984 0 23.9264 0 0 8.95645 0 19.5948 0 5.22401 0
42101.00 1232.56 13.590938 32.156600 -162885.462488 3.711095 16.382820 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2983 0 23.9263 0 0 8.95531 0 19.5934 0 5.22664 0
42001.00 1232.38 13.582406 32.135617 -162822.265080 3.708957 16.372831 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2982 0 23.9263 0 0 8.95416 0 19.5921 0 5.22927 0
41901.00 1232.20 13.573813 32.114488 -162758.281082 3.706802 16.362766 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2981 0 23.9262 0 0 8.95302 0 19.5908 0 5.2319 0
41801.00 1232.02 13.565157 32.093213 -162693.502825 3.704629 16.352626 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.298 0 23.9261 0 0 8.95188 0 19.5895 0 5.23453 0
41701.00 1231.84 13.556439 32.071789 -162627.922542 3.702439 16.342409 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2979 0 23.9261 0 0 8.95074 0 19.5882 0 5.23716 0
41601.00 1231.66 13.547657 32.050215 -162561.532361 3.700232 16.332115 (Ca0.13Fe''0.18Mg0.69)3Al2Si3O12 42.2978 0 23.926 0 0 8.9496 0 19.5868 0 5.23979 0
